identifier,smiles,bus
ABAMIC,CN1CCN(C)CC1,[0]
ABEDAM,NCCCN,[]
ABEDEQ,C1CNCCN1,[]
ABEREE,Cc1ccncc1,[]
ABESIL,NCCN,[1]
ABESUX,NCCCCN,[1]
ABETAE,NCCCCCN,[1]
ABIXUG,CNC,[1]
ABOCEA,Cc1cccc(C)n1,[]
ABOCIE,c1ccncc1,[]
ABULIV,CCN,[1]
ABULOB,NCCCCCCN,[0]
ABUNOB,N=C(N)N,[]
ABUNOC,C1CN2CCN1CC2,[2]
ABUNUI,C1CN2CCN1CC2,[2]
ACADEO,C1CNCCN1,[3]
ACAGET,c1cnc2cccnc2c1,[4]
ACAHIW,CCCN(CCC)CCC,[4]
ACIFOK,CNC,[2]
ACIFUQ,CNC,[2]
ACISAJ,CNC,[2]
ACISEN,CNC,[2]
ACISIR,CNC,[2]
ACOKOT,CC1CNCCN1,[1]
ACOKUZ,NCCCCCCN,[1]
ACOMEL,NCCN,[0]
ACOTER,NCCCCCCN,[]
ADALOG,NCCCCN,[]
ADIPUZ,c1cc(-c2ccncc2)ccn1,[5]
ADOKOT,C1CC2CCC1CNC2,[5]
ADOSES,NCCN,"[4, 1]"
ADOSUI,c1c[nH]cn1,[]
AFEVUE,c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,[]
AFEZIX,Nc1ccccc1N,[5]
AFILIL,NCCNCCN,[]
AFIVEQ,C1CNCCN1,"[6, 4]"
AFIVOA,C1CNCCN1,[6]
AFOFUX,C1CN2CCN1CC2,[7]
AFONAK,CC(N)c1ccccc1,[4]
AGABUF,C1CCNCC1,"[1, 8]"
AGEWOB,N=C(N)N,"[9, 7]"
AGEWUH,N=C(N)N,[7]
AGOKUF,c1ccncc1,[10]
AGOPIX,NCc1cccc(CN)c1,[1]
AGOSIY,NCCCN,[2]
AGUBUA,CC(CN)CCCN,[0]
AGUZIL,CCN(CC)CC,[11]
AHIZEX,C1CN2CCN1CC2,[1]
AHOJUC,NCCN,[0]
AHOKAJ,NCCN,[0]
AHOKUD,NCCCN,[1]
AHUROM,c1cn(CCCCn2ccnc2)cn1,[1]
AHUSAZ,c1ncn(CCCCCCn2cncn2)n1,[1]
AHUSED,c1cn(CCCCCCn2ccnc2)cn1,[1]
AHUSIH,CNC,[0]
AHUTAZ,C1CNCCN1,[1]
AJARUY,NCCN,[1]
AJESEN,N=C(N)N,[4]
AJEWER,CN1CCNCC1,[2]
AJEWIV,NCCN,[2]
AJIQEQ,NCCNCCN,[]
AJIRIV,NCCCN,[]
AJODOV,c1cc(CCCc2ccncc2)ccn1,[1]
AJOQOF,NCCN,"[12, 5]"
AJOSAT,CN,[]
