identifier,comment,SDES_CompositionFormula,SDES_Dimension,SDES_FormalCharge,SDES_LatticeVolume
ABAMIC,,V4 P6 H6 O22,2.0,-4.0,849.777551795995
ABEDAM,,Ge18 O44,3.0,-8.0,1366.4768435955
ABEDEQ,,Ge18 H8 O44,3.0,-8.0,1380.4479585466543
ABEREE,,W12 O38,0.0,-4.0,1840.5125313670248
ABESIL,,U1 P2 O8,2.0,-2.0,255.71840300631456
ABESUX,,U20 P16 O108,3.0,-8.0,2786.1634714026404
ABETAE,,U20 P16 O108,3.0,-8.0,2819.0239483200003
ABOCEA,,W24 O80,0.0,-12.0,3648.104771684605
ABOCIE,,W48 O160,0.0,-24.0,5360.852551981917
ABULIV,,Be16 P16 H8 O72,2.0,-8.0,2033.495472328593
ABULOB,,Be12 P16 H16 O48,3.0,-8.0,1746.8855155663202
ABUNOB,,Ta2 O16,0.0,-6.0,765.172326081694
ABUNOC,,Pr8 S16 O80,2.0,-8.0,3492.6322889246003
ABUNUI,,Nd8 S16 O80,2.0,-8.0,3477.586593887
ACADEO,,V4 H16 Se4 O24,1.0,0.0,888.5462262299709
ACAGET,,Cr8 H32 C32 O80,0.0,-8.0,3274.1879003750005
ACAHIW,,Mn2 Cr2 C12 O24,2.0,-2.0,1200.7753582553576
ACIFOK,,Tb20 S32 O152,3.0,-30.0,5944.6808394240015
ACIFUQ,,Eu20 S32 O152,3.0,-30.0,5924.6634204806405
ACISAJ,,Dy20 S32 O152,3.0,-28.0,5856.771713063834
ACISEN,,Er20 S32 O152,3.0,-28.0,5782.891618400001
ACISIR,,Sm20 S32 O152,3.0,-28.0,5874.111381085808
ACOKOT,,Be6 P10 H10 O40,1.0,-9.0,1321.8931527336972
ACOKUZ,,Be16 P16 H16 O72,2.0,-8.0,2104.7483953800006
ACOMEL,,Fe4 P4 H4 O12 F12,1.0,-8.0,791.6703531840001
ACOTER,,V10 O28,0.0,-4.0,908.4453959544786
ADALOG,,Ge112 O232 F32,3.0,-48.0,12397.483439163001
ADIPUZ,,V8 Si4 Mo48 O168,0.0,-16.0,5626.536352537759
ADOKOT,,Si64 O128,3.0,0.0,3571.2777577050006
ADOSES,,Na4 Co4 P4 C8 O32,3.0,-4.0,772.8959602489314
