identifier,dimension
ABAMIC,2
ABEDAM,3
ABEDEQ,3
ABEREE,0
ABESIL,2
ABESUX,3
ABETAE,3
ABOCEA,0
ABOCIE,0
ABULIV,2
ABULOB,3
ABUNOB,0
ABUNOC,2
ABUNUI,2
ACADEO,1
ACAGET,0
ACAHIW,2
ACIFOK,3
ACIFUQ,3
ACISAJ,3
ACISEN,3
ACISIR,3
ACOKOT,1
ACOKUZ,2
ACOMEL,1
ACOTER,0
ADALOG,3
ADIPUZ,0
ADOKOT,3
ADOSES,3
AFEVUE,0
AFEZIX,0
AFIVEQ,1
AFIVOA,3
AFOFUX,1
AFONAK,0
AGABUF,2
AGOKUF,0
AGOPIX,0
AGOSIY,2
AGUZIL,0
AHIZEX,2
AHOJUC,3
AHOKAJ,3
AHOKUD,2
AHUROM,1
AHUSED,1
AHUSIH,0
AJARUY,1
AJESEN,0
AJEWER,1
AJEWIV,1
AJIQEQ,2
AJIRIV,2
AJODOV,0
AJOSAT,2
AJOTEY,3
AJUKAS,0
AKELAF,0
AKOHEO,3
ALABIY,1
ALECUP,2
ALEDAW,2
ALIQUH,3
ALUPIH,1
ALUPON,2
AMAKIK,0
AMAKOQ,0
AMATEP,0
AMAVER,0
AMAVUH,0
AMIYIG,3
AMIYOM,3
AMIZAZ,3
AMIZON,3
AMOBEL,3
AMOGIS,0
AMOGOY,0
AMOGUE,0
AMOHAL,0
AMOHEP,0
AMOMUM,3
AMONAT,3
AMURUX,3
ANEFIK,2
APIPUL,0
APIZEF,0
APOFIV,0
APOGOD,3
APOZIO,0
AQOURI,0
AQUPAE,2
ARABIF,0
AROYOW,0
ARUFIC,3
ARUYOB,3
ARUYUH,3
ASEMIU,0
ASEQIA,2
ASEQOG,2
ASEQUM,2
ASERAT,2
ASEREX,2
ASERIB,2
ASEZOP,0
ASEZUV,0
ASIBAH,2
ASOJAT,2
ASOWEK,1
ASOXOV,0
ATAHEI,2
ATECIN,0
AWAJOY,0
AWASEW,2
AWEFAK,1
AWEFIS,1
AWEKUI,2
AWIFER,2
AWIPUT,1
AWOJIG,0
AWOPOS,0
AWOQAF,0
AXAFAG,3
AXAFEK,3
AXOHOL,1
AXOHUR,2
AXORUB,0
AXUPEO,3
AYEJIY,2
AYEJOE,1
AYEMAT,2
AYILOK,3
AYIMIF,0
AYIZOY,0
AYOKII,0
AYUPAL,2
AYUPEP,2
AYUPIT,2
AYUPOB,0
AZECUD,0
AZEDAK,0
AZEDIS,0
AZEMUO,0
AZENAV,0
AZEWAD,3
AZEWEH,3
AZEWIL,2
AZEWOR,2
AZEZEK,2
AZIQAB,0
AZONIM,1
AZOPEK,2
AZOWIV,2
AZOWOB,3
BAGPEE,0
BAHQOR,1
BAKFAV,3
BAKFEZ,2
BAKKUV,0
BAMMEK,2
BANDAV,0
BARHOS,0
BARWEX,2
BATCOQ,0
BAVXAX,2
BAVXEB,0
BAWZAC,0
BAWZEG,0
BAXKAM,3
BAXPUL,3
BAYBOT,2
BAYBUY01,0
BEBFAQ,2
BECQUV,0
BECRAD,3
BEDNAA,2
BEHKAA,2
BEJHAC,0
BEKDIF,2
BEKSAM,3
BEMJAG,2
BEMWAT,0
BERVUQ,2
BERWAX,2
BESJIT,2
BEVKUJ,0
BEVLAQ,2
BEWSIF,0
BEYSAZ,0
BEZBAL,0
BEZLEX,0
BICGID,0
BICGIG,1
BICGOJ,0
BICGOM,2
BICPOT,3
BIQFAL,3
BIQFOW,3
BIQHUH,3
BIQNUM,3
BIQPAU,2
BIQREA,2
BIQRIE,3
BITREB,0
BITRIF,0
BIVLUQ,3
BIVSOO,0
BIVXUZ,2
BIVYEK,2
BIWGUJ,3
BIWHAQ,3
BIWWAG,0
BIWWEK,0
BIYFEV,2
BIYFIZ,2
BOJBOS,0
BOKJIV,0
BOKJOB,0
BOKJUH,1
BOKKAO,1
BOKKES,0
BOKKIW,0
BOKKOC,1
BOKKUI,0
BOKVUU,2
BOKWAB,2
BOLQIE,0
BOMZOT,0
BOMZUZ,0
BOPMUR,3
BOPNAY,3
BOPNEC,3
BOPNIG,3
BOPNOM,3
BOPNUS,3
BOPPUU,3
BOQNIE,0
BOQVIN,0
BOQWUC,2
BOTHAU,2
BOWRAH,3
BOWSOW,3
BOWSUC,3
BOXWAN,3
BOXWER,3
BOXWIV,3
BOXYAQ,3
BOXYEU,3
BOXYIY,3
BUAMDW10,0
BUBQOE,3
BUCREZ,0
BUCRID,0
BUGWUV,0
BURHIG,1
BURHUS,3
BUTHUU,0
BUWKEL,0
BUWZUP,1
CACKOI,0
CADPED,1
CADPIH,3
CAFKIG,0
CAGXIS,2
CAGZOA,2
CAGZUG,1
CAHBET,2
CAHFOH,2
CAHMAZ,3
CAHQOS,3
CAHSOU,3
CAHVEN,2
CAKSOY,0
CANCUR,3
CANFUS,0
CANVEV,0
CANZIB,1
CANZOH,3
CANZUN,2
CAPBAX,2
CAPBEB,3
CAPBIF,0
CAPBOL,2
CAPCEC,3
CAPCIG,3
CAPTIZ,1
CAPTOF,1
CAPTUL,1
CAPVAT,2
CAQJOV,0
CAQWOJ,2
CASHUA,1
CASJEM,0
CASNIU,1
CASQIY,0
CAVMIW,3
CAWTOM,0
CAXHAK,0
CAXPEX,0
CAYSOL,3
CAZXUY,2
CAZYAF,2
CEDTIR,0
CEHQAJ,1
CEHQEN,1
CEHQIR,1
CEHYOF,3
