identifier,dimension,smiles,bus,elements,ms,nms
ABAMIC,2,CN1CCN(C)CC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
ABEDAM,3,NCCCN,[],"['Ge', 'O']",['Ge'],['O']
ABEDEQ,3,C1CNCCN1,[],"['Ge', 'O']",['Ge'],['O']
ABEREE,0,Cc1ccncc1,[],"['O', 'W']",['W'],['O']
ABESIL,2,NCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']"
ABESUX,3,NCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']"
ABETAE,3,NCCCCCN,[1],"['O', 'P', 'U']",['U'],"['O', 'P']"
ABOCEA,0,Cc1cccc(C)n1,[],"['O', 'W']",['W'],['O']
ABOCIE,0,c1ccncc1,[],"['O', 'W']",['W'],['O']
ABULIV,2,CCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
ABULOB,3,NCCCCCCN,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
ABUNOB,0,N=C(N)N,[],"['O', 'Ta']",['Ta'],['O']
ABUNOC,2,C1CN2CCN1CC2,[2],"['O', 'Pr', 'S']",['Pr'],"['O', 'S']"
ABUNUI,2,C1CN2CCN1CC2,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
ACADEO,1,C1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
ACAGET,0,c1cnc2cccnc2c1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
ACAHIW,2,CCCN(CCC)CCC,[4],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']"
ACIFOK,3,CNC,[2],"['O', 'S', 'Tb']",['Tb'],"['O', 'S']"
ACIFUQ,3,CNC,[2],"['Eu', 'O', 'S']",['Eu'],"['O', 'S']"
ACISAJ,3,CNC,[2],"['Dy', 'O', 'S']",['Dy'],"['O', 'S']"
ACISEN,3,CNC,[2],"['Er', 'O', 'S']",['Er'],"['O', 'S']"
ACISIR,3,CNC,[2],"['O', 'S', 'Sm']",['Sm'],"['O', 'S']"
ACOKOT,1,CC1CNCCN1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
ACOKUZ,2,NCCCCCCN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
ACOMEL,1,NCCN,[0],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
ACOTER,0,NCCCCCCN,[],"['O', 'V']",['V'],['O']
ADALOG,3,NCCCCN,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']"
ADIPUZ,0,c1cc(-c2ccncc2)ccn1,[5],"['Mo', 'O', 'Si', 'V']","['Mo', 'Si', 'V']",['O']
ADOKOT,3,C1CC2CCC1CNC2,[5],"['O', 'Si']",['Si'],['O']
ADOSES,3,NCCN,"[4, 1]","['C', 'Co', 'Na', 'O', 'P']","['Co', 'Na']","['C', 'O', 'P']"
AFEVUE,0,c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,[],"['O', 'Re']",['Re'],['O']
AFEZIX,0,Nc1ccccc1N,[5],"['O', 'Si', 'W']","['Si', 'W']",['O']
AFIVEQ,1,C1CNCCN1,"[6, 4]","['As', 'C', 'Fe', 'O']",['Fe'],"['As', 'C', 'O']"
AFIVOA,3,C1CNCCN1,[6],"['As', 'Fe', 'O']",['Fe'],"['As', 'O']"
AFOFUX,1,C1CN2CCN1CC2,[7],"['C', 'O', 'U']",['U'],"['C', 'O']"
AFONAK,0,CC(N)c1ccccc1,[4],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']"
AGABUF,2,C1CCNCC1,"[1, 8]","['C', 'O', 'P', 'Zn']",['Zn'],"['C', 'O', 'P']"
AGOKUF,0,c1ccncc1,[10],"['Cl', 'N', 'O', 'Pu']",['Pu'],"['Cl', 'N', 'O']"
AGOPIX,0,NCc1cccc(CN)c1,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
AGOSIY,2,NCCCN,[2],"['Cd', 'O', 'S']",['Cd'],"['O', 'S']"
AGUZIL,0,CCN(CC)CC,[11],"['As', 'O', 'V']",['V'],"['As', 'O']"
AHIZEX,2,C1CN2CCN1CC2,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
AHOJUC,3,NCCN,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
AHOKAJ,3,NCCN,[0],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']"
AHOKUD,2,NCCCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']"
AHUROM,1,c1cn(CCCCn2ccnc2)cn1,[1],"['Ca', 'Fe', 'Mo', 'O', 'P']","['Ca', 'Fe', 'Mo']","['O', 'P']"
AHUSED,1,c1cn(CCCCCCn2ccnc2)cn1,[1],"['Ca', 'Cu', 'Mo', 'O', 'P']","['Ca', 'Cu', 'Mo']","['O', 'P']"
AHUSIH,0,CNC,[0],"['O', 'P', 'W']",['W'],"['O', 'P']"
AJARUY,1,NCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
AJESEN,0,N=C(N)N,[4],"['C', 'O', 'Pt']",['Pt'],"['C', 'O']"
AJEWER,1,CN1CCNCC1,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
AJEWIV,1,NCCN,[2],"['Mo', 'O', 'S']",['Mo'],"['O', 'S']"
AJIQEQ,2,NCCNCCN,[],"['O', 'Te', 'V']","['Te', 'V']",['O']
AJIRIV,2,NCCCN,[],"['O', 'Te', 'V']","['Te', 'V']",['O']
AJODOV,0,c1cc(CCCc2ccncc2)ccn1,[1],"['Gd', 'Mo', 'O', 'P']","['Gd', 'Mo']","['O', 'P']"
AJOSAT,2,CN,[],"['O', 'V']",['V'],['O']
AJOTEY,3,N=C(N)N,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
AJUKAS,0,C1CCCNCC1,[5],"['O', 'Si']",['Si'],['O']
AKELAF,0,C1CCNC1,[],"['Mo', 'O']",['Mo'],['O']
AKOHEO,3,NCCN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']"
ALABIY,1,NCCN,[13],"['Cd', 'O', 'Se']",['Cd'],"['O', 'Se']"
ALECUP,2,NCCN(CCN)CCN,"[4, 1]","['C', 'Mn', 'O', 'P']",['Mn'],"['C', 'O', 'P']"
ALEDAW,2,NCCN(CCN)CCN,"[4, 1]","['C', 'Fe', 'O', 'P']",['Fe'],"['C', 'O', 'P']"
ALIQUH,3,C1CNCCN1,[4],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']"
