smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68,encoded_mdes_69,encoded_mdes_70,encoded_mdes_71,encoded_mdes_72,encoded_mdes_73,encoded_mdes_74,encoded_mdes_75,encoded_mdes_76,encoded_mdes_77,encoded_mdes_78,encoded_mdes_79,encoded_mdes_80,encoded_mdes_81,encoded_mdes_82,encoded_mdes_83,encoded_mdes_84,encoded_mdes_85,encoded_mdes_86,encoded_mdes_87,encoded_mdes_88,encoded_mdes_89,encoded_mdes_90,encoded_mdes_91,encoded_mdes_92,encoded_mdes_93,encoded_mdes_94,encoded_mdes_95,encoded_mdes_96,encoded_mdes_97,encoded_mdes_98,encoded_mdes_99,encoded_mdes_100,encoded_mdes_101,encoded_mdes_102,encoded_mdes_103,encoded_mdes_104,encoded_mdes_105,encoded_mdes_106,encoded_mdes_107
CN1CCN(C)CC1,-0.06797345,0.050301924,0.032445498,0.0029870113,0.014584549,0.053624038,-0.038554497,-0.027615005,0.054641012,-0.011189887,0.043585718,-0.006761629,-0.057492014,-0.07694983,-0.03076021,-0.033502385,0.06109189,0.0005811779,-0.012069758,-0.063711695,0.08010452,0.050362803,-0.060777444,0.0083306655,0.006108692,-0.05167459,-0.029022396,-0.067606516,0.031749956,0.054994527,-0.034388937,-0.057013825,-0.027858172,0.074356034,-0.07282588,-0.039212424,0.008364379,-0.099605754,0.078885525,0.10178807,0.061497346,-0.0610452,0.018038202,-0.07062351,0.05118774,0.044596314,-0.02083515,0.061404403,0.033367433,0.013507054,-0.010893106,0.08321311,-0.03685107,-0.028884979,0.04130314,-0.006918625,0.10332381,-0.025685707,0.0011391938,0.0643383,-0.032145448,0.009304336,0.025187207,0.02571313,0.016619716,0.084644824,-0.043959346,-0.044269297,-0.0016863416,-0.07317897,-0.018138897,-0.021898836,0.0289461,0.05700428,0.041250102,0.071107924,-0.09867338,-0.030974101,-0.10318713,-0.03943373,-0.07346891,-0.08528416,-0.04839556,0.041940846,-0.0642732,0.048646532,-0.015052814,0.04179038,-0.035875384,0.011905171,0.08909811,-0.0756503,-0.010578496,-0.012980085,0.010479957,-0.028464923,0.09730477,-0.0075181983,-0.009779161,-0.033638153,0.083840124,0.011145167,0.01277448,0.039396837,0.014450187,0.051919926,0.04844259,0.050992437
NCCCN,-0.06801704,0.050209176,0.032461576,0.0029965667,0.014599614,0.05361771,-0.038507774,-0.027565753,0.05461947,-0.011232141,0.043553535,-0.006731108,-0.057538237,-0.076994024,-0.030665928,-0.033484686,0.06115542,0.00063150004,-0.01201934,-0.063720584,0.08013447,0.050313376,-0.060769446,0.008300135,0.0060086595,-0.05164112,-0.029031893,-0.067616716,0.031720713,0.055098176,-0.034351595,-0.05704984,-0.027947102,0.07435699,-0.072709866,-0.039211374,0.00841105,-0.09959419,0.07891044,0.10180305,0.06157712,-0.06101762,0.018102195,-0.070620336,0.05118187,0.044538625,-0.020860504,0.061394013,0.033381935,0.01348256,-0.010844259,0.08316302,-0.03685801,-0.028832369,0.04128288,-0.00688045,0.10330915,-0.025741337,0.0011692718,0.0643524,-0.032121576,0.009306152,0.025167082,0.02578443,0.016550612,0.08465839,-0.04404519,-0.044238683,-0.00172834,-0.07315613,-0.018036934,-0.02191963,0.028920569,0.057043117,0.041165806,0.07108054,-0.09870197,-0.030961871,-0.103160076,-0.03943401,-0.07348241,-0.085329495,-0.04841042,0.04195181,-0.064264655,0.048668854,-0.014945649,0.04182429,-0.0358488,0.011915418,0.08903494,-0.07559085,-0.010478325,-0.012901917,0.010498479,-0.02840844,0.09735291,-0.007568796,-0.009828316,-0.033715278,0.08392166,0.011121616,0.012776689,0.039400816,0.014414668,0.051901404,0.048458196,0.050990663
C1CNCCN1,-0.06797628,0.050274752,0.032444753,0.0029791081,0.014586795,0.05363304,-0.038543485,-0.02759584,0.05462836,-0.011200134,0.043576032,-0.0067568757,-0.05750705,-0.07695866,-0.030733852,-0.033491462,0.061116435,0.00059985835,-0.012062874,-0.06370598,0.0801132,0.05034132,-0.06077139,0.008316397,0.006085404,-0.05166702,-0.029019782,-0.06761215,0.031745628,0.05503378,-0.03437864,-0.057013772,-0.027878217,0.074350476,-0.07279832,-0.039217897,0.008374031,-0.09961674,0.078898,0.10178744,0.061526183,-0.061027553,0.01806074,-0.07063643,0.05117668,0.04457388,-0.020839633,0.06140744,0.033378467,0.013499353,-0.010871623,0.083199635,-0.03685118,-0.028864712,0.041307893,-0.006907953,0.1033096,-0.02570273,0.0011390932,0.06434193,-0.032140985,0.009307839,0.025183512,0.025728688,0.016591916,0.08465329,-0.04399416,-0.044258364,-0.0016944343,-0.07317941,-0.018111905,-0.02190099,0.028932348,0.057009403,0.04121641,0.07110478,-0.09868264,-0.030980568,-0.10318639,-0.039445683,-0.073477976,-0.08529498,-0.04840216,0.04194592,-0.06426773,0.048661456,-0.015015621,0.041805148,-0.03586396,0.0119065335,0.08908528,-0.075644925,-0.010561493,-0.01294706,0.010481436,-0.028440123,0.097324334,-0.0075389384,-0.009794859,-0.03365656,0.0838574,0.011136338,0.012781099,0.039394934,0.014445254,0.051907927,0.04845254,0.05098939
Cc1ccncc1,-0.06787822,0.050561585,0.032435104,0.0029338961,0.014534188,0.053588063,-0.038673624,-0.027738573,0.05470934,-0.011062624,0.043655552,-0.0068297945,-0.057356015,-0.076880954,-0.030986961,-0.033481985,0.060929354,0.00044737896,-0.012184139,-0.06365818,0.079999946,0.050531283,-0.060800795,0.008405372,0.0062930044,-0.051743127,-0.028987566,-0.067523696,0.03175401,0.0547679,-0.034481913,-0.056892548,-0.027661372,0.07437912,-0.07311631,-0.039226934,0.008237835,-0.099657714,0.07880683,0.101745725,0.06130884,-0.06114317,0.01791839,-0.070617214,0.051189896,0.044721745,-0.02078094,0.061468057,0.03332365,0.013534006,-0.01098581,0.08331977,-0.036792997,-0.029009158,0.0413323,-0.006955021,0.103330985,-0.025569756,0.0010207519,0.06436112,-0.032178327,0.00933894,0.025229711,0.025521755,0.016759356,0.084623866,-0.04378865,-0.044363864,-0.0016064695,-0.073226035,-0.018350836,-0.021863855,0.028986566,0.056894857,0.041388072,0.071205735,-0.09855102,-0.031048652,-0.103260845,-0.03942171,-0.07343558,-0.085180685,-0.048336513,0.041883744,-0.06429028,0.048567005,-0.015308917,0.041683264,-0.03590864,0.011859447,0.08925486,-0.07580434,-0.010810232,-0.013162281,0.010427907,-0.028632356,0.09721257,-0.0074353265,-0.009706071,-0.033482287,0.08371687,0.011221867,0.012774467,0.039393105,0.01454998,0.051920913,0.04845245,0.050969414
NCCN,-0.068019174,0.050202083,0.032462597,0.0029972112,0.01459627,0.053616077,-0.038501892,-0.027560104,0.054616313,-0.011234412,0.043549754,-0.0067294426,-0.05754579,-0.076996066,-0.030662311,-0.033481695,0.0611587,0.00063739065,-0.012017351,-0.063718446,0.08013137,0.050312642,-0.06077157,0.008297138,0.0060025062,-0.051640052,-0.029035656,-0.06761549,0.031717118,0.055104043,-0.034349646,-0.05704891,-0.027951607,0.07435253,-0.07270454,-0.039209217,0.008414996,-0.099592336,0.07891388,0.10180785,0.06157867,-0.061013058,0.018107384,-0.07061906,0.05118195,0.044534534,-0.020862417,0.06139128,0.033389412,0.013482623,-0.010840895,0.083160505,-0.036854357,-0.028830688,0.04128543,-0.0068748128,0.1033062,-0.02574689,0.0011695586,0.06435422,-0.03212215,0.009310888,0.025165347,0.025787704,0.016544025,0.08466096,-0.044054113,-0.04423939,-0.0017312746,-0.073153846,-0.018033741,-0.021917265,0.028918907,0.057040263,0.041159377,0.07107629,-0.098698385,-0.030969126,-0.10315667,-0.039432652,-0.073486224,-0.08532976,-0.04841274,0.041950997,-0.06426367,0.048671596,-0.014941599,0.04182683,-0.035847858,0.011911646,0.08902906,-0.075586125,-0.010473649,-0.01289653,0.010499977,-0.02840507,0.09735347,-0.007570165,-0.009832045,-0.03371982,0.08392654,0.011119366,0.012780224,0.03940292,0.014407335,0.051901303,0.048461013,0.05098714
NCCCCN,-0.06800983,0.050212886,0.03245942,0.002997323,0.01459863,0.053618327,-0.03851131,-0.027567407,0.05461703,-0.011229979,0.04355617,-0.0067336448,-0.05753688,-0.07698636,-0.030675136,-0.033487596,0.06114977,0.0006287261,-0.0120256655,-0.06372292,0.08013385,0.05031324,-0.06077246,0.008300031,0.0060162097,-0.051648423,-0.029030686,-0.06761998,0.03172945,0.055089783,-0.034356013,-0.057049207,-0.027940001,0.07435511,-0.07271842,-0.039210632,0.008407397,-0.09959097,0.07891179,0.10180114,0.061569802,-0.06101788,0.018092878,-0.070622385,0.051183317,0.044542372,-0.02086018,0.06138988,0.033379257,0.013487562,-0.010848872,0.083166964,-0.036859374,-0.028836766,0.041284524,-0.0068834797,0.10330863,-0.02574199,0.0011680312,0.06434773,-0.032126874,0.009306813,0.025169846,0.0257812,0.016554687,0.08465236,-0.04403732,-0.04423877,-0.0017284798,-0.07316046,-0.018043345,-0.021915216,0.028924312,0.05703756,0.041173942,0.07108344,-0.098702796,-0.030960448,-0.10316049,-0.039437015,-0.07348424,-0.0853258,-0.048410915,0.04195844,-0.06425963,0.048667766,-0.0149488,0.041822728,-0.035853732,0.011915521,0.08904008,-0.0755974,-0.010482128,-0.012906607,0.010494877,-0.028411495,0.09734857,-0.007565426,-0.009821245,-0.033706773,0.083910905,0.011125963,0.012776385,0.03939837,0.014419701,0.05190225,0.04845647,0.050993197
NCCCCCN,-0.068008885,0.050217565,0.032459848,0.0029983586,0.014599619,0.053619526,-0.03851505,-0.02757133,0.05462116,-0.011228345,0.043558203,-0.0067355596,-0.057531327,-0.076984376,-0.030680869,-0.03348856,0.061147206,0.00062321126,-0.01202799,-0.06372408,0.08013478,0.050315984,-0.06077112,0.008301672,0.006021468,-0.051648393,-0.029029379,-0.06761921,0.03173059,0.05508314,-0.034357473,-0.057048105,-0.02793635,0.074357025,-0.07272539,-0.039212037,0.008403299,-0.099593624,0.07890834,0.10180049,0.061566114,-0.061020024,0.018087648,-0.07062339,0.051182866,0.044545114,-0.020858452,0.061392576,0.03337429,0.013487517,-0.01085037,0.08317075,-0.036859445,-0.028839065,0.041283432,-0.006886661,0.103311,-0.02573834,0.0011658818,0.06434633,-0.03212799,0.009305017,0.025171831,0.025775474,0.016559795,0.08465043,-0.04403025,-0.04423862,-0.0017267521,-0.07316058,-0.018048754,-0.021915074,0.028924447,0.057037663,0.041178852,0.0710852,-0.09870316,-0.030957894,-0.10316238,-0.039437857,-0.0734816,-0.08532333,-0.04840864,0.041958176,-0.06426048,0.04866549,-0.014953457,0.0418211,-0.035853766,0.011917529,0.089042954,-0.07560198,-0.010486766,-0.012911562,0.010494251,-0.028413404,0.097346604,-0.007561539,-0.009817602,-0.03370297,0.08390638,0.011127051,0.012775221,0.039396435,0.014424342,0.05190303,0.048453096,0.050993897
CNC,-0.06801992,0.05020421,0.032460622,0.0029906398,0.014584772,0.053614777,-0.038504064,-0.027547771,0.054604977,-0.011238026,0.04354006,-0.0067274235,-0.057554968,-0.076999515,-0.030661631,-0.033475306,0.061163213,0.00064387824,-0.012020197,-0.06371471,0.08011946,0.050306804,-0.06077032,0.008297405,0.006000817,-0.051637426,-0.02903934,-0.067611165,0.031703178,0.055115066,-0.03435037,-0.05704374,-0.027953556,0.07434223,-0.07270325,-0.039201297,0.008413696,-0.09960458,0.0789186,0.10181174,0.061585605,-0.061013333,0.018110534,-0.070616975,0.05118359,0.04453098,-0.020866293,0.06139349,0.03340215,0.0134741105,-0.010845453,0.083155654,-0.036852397,-0.028828874,0.04129412,-0.0068612834,0.1032992,-0.025753226,0.0011707768,0.06435729,-0.032118715,0.009309908,0.025156815,0.025800034,0.016541356,0.084667735,-0.044064686,-0.04424219,-0.0017323378,-0.073162906,-0.018025644,-0.021916468,0.028921325,0.05703925,0.04115905,0.07107897,-0.098688185,-0.030974325,-0.10315269,-0.039434373,-0.07349241,-0.08532008,-0.048411254,0.041937973,-0.064270854,0.048669852,-0.014936943,0.04182405,-0.03585029,0.011900218,0.08902469,-0.07558063,-0.01048073,-0.012889147,0.010502059,-0.028401837,0.09735034,-0.007575104,-0.009833628,-0.033710826,0.08393377,0.011116192,0.012781301,0.039410483,0.014404457,0.051897794,0.048469126,0.050982244
Cc1cccc(C)n1,-0.0678844,0.050563984,0.032437433,0.0029258402,0.014531888,0.053579886,-0.03867907,-0.027744556,0.054708023,-0.011060449,0.043652732,-0.006836232,-0.05735541,-0.07688865,-0.030989084,-0.033493258,0.060929462,0.00044621434,-0.012178384,-0.06366433,0.08000171,0.050532613,-0.060801715,0.008408537,0.006286282,-0.051752105,-0.028994141,-0.067517914,0.03174995,0.054772124,-0.034483127,-0.05689606,-0.027666744,0.07438271,-0.07311336,-0.03922914,0.008241109,-0.09964874,0.07880331,0.10174064,0.06131157,-0.061152183,0.01792068,-0.07060082,0.05119895,0.044721805,-0.020785373,0.06146217,0.0333274,0.013531836,-0.01098647,0.083315,-0.036792163,-0.029012822,0.041325938,-0.0069602663,0.10333528,-0.025573306,0.001027666,0.06435624,-0.032181583,0.0093348175,0.025231706,0.025524445,0.01676359,0.084627226,-0.04378414,-0.044364847,-0.0016040797,-0.07322651,-0.018350784,-0.021862011,0.02898736,0.05689266,0.041396834,0.07120572,-0.09854724,-0.031046523,-0.103254676,-0.03941939,-0.073437236,-0.08518553,-0.04833275,0.041884355,-0.064296335,0.0485631,-0.015306149,0.041683387,-0.03591463,0.011858682,0.08925044,-0.075805455,-0.010804332,-0.013154,0.010430098,-0.02863479,0.09720768,-0.0074365092,-0.009705888,-0.033486806,0.08371803,0.011226613,0.012770218,0.039398257,0.014545597,0.05192095,0.048451785,0.050970532
c1ccncc1,-0.06786696,0.05057814,0.032431357,0.0029322943,0.014531253,0.053597257,-0.038674787,-0.027748685,0.054719295,-0.011065491,0.043660514,-0.006838765,-0.05734556,-0.07687135,-0.030989558,-0.033471502,0.060926616,0.00044342224,-0.01219685,-0.06365347,0.079999775,0.05053833,-0.06079536,0.008416446,0.0063090343,-0.05173982,-0.02898298,-0.0675255,0.031757817,0.05475086,-0.034480505,-0.056871325,-0.027650114,0.074388266,-0.073140986,-0.039233316,0.008226549,-0.09967092,0.0787936,0.101741664,0.06129879,-0.061147857,0.017915154,-0.07063239,0.051181383,0.044729725,-0.020768253,0.06147916,0.033321958,0.013527514,-0.01098511,0.08332369,-0.036792345,-0.029009927,0.041347537,-0.006957881,0.10333585,-0.025554001,0.0010092333,0.06436282,-0.032174412,0.009342442,0.025227807,0.025492903,0.016760334,0.084636636,-0.04378343,-0.04436994,-0.0015933863,-0.073232055,-0.0183693,-0.021867251,0.028980613,0.05689201,0.04139474,0.071215585,-0.098544054,-0.031062178,-0.10327814,-0.039419226,-0.07343194,-0.085171066,-0.04833222,0.041868128,-0.06429871,0.04857214,-0.0153281465,0.041670382,-0.035902865,0.0118697,0.08927371,-0.07582357,-0.010837387,-0.013164241,0.010427114,-0.028640574,0.09720428,-0.007421208,-0.009702662,-0.033475634,0.083707266,0.011226524,0.012777892,0.039400317,0.014558056,0.051928278,0.048446566,0.050980553
