smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68,encoded_mdes_69,encoded_mdes_70,encoded_mdes_71,encoded_mdes_72,encoded_mdes_73,encoded_mdes_74,encoded_mdes_75,encoded_mdes_76,encoded_mdes_77,encoded_mdes_78,encoded_mdes_79,encoded_mdes_80,encoded_mdes_81,encoded_mdes_82,encoded_mdes_83,encoded_mdes_84,encoded_mdes_85,encoded_mdes_86,encoded_mdes_87,encoded_mdes_88,encoded_mdes_89,encoded_mdes_90,encoded_mdes_91,encoded_mdes_92,encoded_mdes_93,encoded_mdes_94,encoded_mdes_95,encoded_mdes_96,encoded_mdes_97,encoded_mdes_98,encoded_mdes_99,encoded_mdes_100,encoded_mdes_101,encoded_mdes_102,encoded_mdes_103,encoded_mdes_104,encoded_mdes_105,encoded_mdes_106,encoded_mdes_107,encoded_mdes_108,encoded_mdes_109,encoded_mdes_110,encoded_mdes_111,encoded_mdes_112,encoded_mdes_113,encoded_mdes_114,encoded_mdes_115,encoded_mdes_116,encoded_mdes_117,encoded_mdes_118,encoded_mdes_119,encoded_mdes_120,encoded_mdes_121,encoded_mdes_122,encoded_mdes_123,encoded_mdes_124,encoded_mdes_125,encoded_mdes_126,encoded_mdes_127,encoded_mdes_128,encoded_mdes_129,encoded_mdes_130,encoded_mdes_131,encoded_mdes_132,encoded_mdes_133,encoded_mdes_134
CN1CCN(C)CC1,-0.072653614,-0.018369388,0.046102468,0.034231834,0.14639905,0.095203534,0.05493304,0.093679234,0.0141894,-0.16910863,0.07387873,-0.0032510394,-0.02854637,0.07290962,-0.046936497,-0.110970825,-0.14483434,-0.00617524,0.19030213,-0.02448062,0.002155561,0.003049383,-0.1505576,0.06476269,-0.24459963,-0.18813251,-0.21689735,-0.23065996,0.27397814,-0.017409176,0.05896677,-0.0235873,0.15206288,0.07441081,0.030197904,-0.1935702,-0.031850398,0.0756749,-0.008480443,-0.12570846,-0.12861915,0.20817806,0.10503031,-0.16766992,0.046291083,0.11660911,0.110349216,0.10429877,0.22107616,0.047367584,-0.007657241,-0.012940511,-0.3717234,-0.014401154,-0.012645591,0.05062314,0.017204339,-0.01623011,0.07906031,0.26312587,0.17233875,-0.0466889,-0.03104484,-0.15346605,-0.16413164,0.060703814,-0.023090107,0.13774821,-0.01326929,0.090492144,-0.064984806,0.028626807,0.26566476,-0.010006801,0.09692654,-0.15291847,0.04621365,-0.008881722,-0.032038722,0.029772792,0.2598253,-0.008786313,0.18985683,-0.0032429919,0.23905747,0.13704976,-0.010584526,-0.16470489,0.00081886107,0.020059187,0.34734404,-0.065751426,0.08992597,0.018264951,-0.0005081445,0.037506822,-0.07215972,-0.053521797,-0.005310241,-0.110683374,-0.11598505,0.026438005,0.019326486,-0.007459635,-0.0058280155,0.015824895,0.005971127,-0.011814548,-0.15873466,-0.12711644,-0.010650737,-0.02781669,0.040504813,-0.24017647,0.102967754,0.17199029,0.24528483,-0.10096016,-0.1358343,-0.0009441599,-0.15187596,0.05351447,0.0020192834,0.16971043,-0.03087778,-0.0018476043,0.11914848,-0.11813094,-0.0055709966,-0.20961954,-0.05820784,0.104826435,-0.12198896,-0.14422809,0.16995716
NCCCN,-1.0613798,0.094072245,0.046139684,-0.2641608,1.5359704,0.65189135,0.6697116,1.0462574,-0.15080845,-2.4034002,1.8808315,0.08452498,-0.63277894,1.534014,0.3086519,-2.1479323,-2.031873,-0.3633611,2.7340498,0.10304233,-0.3322975,0.12314306,-1.0066503,0.8413501,-3.9929698,-3.05705,-2.2056353,-2.7139952,2.7367098,-0.055836216,0.6126287,0.29963118,2.1032865,0.72760355,0.0015047863,-2.134498,0.15325366,1.36913,0.31815752,-2.2462478,-2.3139215,2.6639225,1.6967065,-1.4048247,0.4344288,1.2131811,1.0238636,1.6097594,2.0504527,0.16035928,0.80332136,0.62869954,-4.2405443,-0.04898768,-0.82572716,1.1949995,-0.00340111,-0.07150383,2.023823,2.5771832,2.8757162,-0.15875095,-0.5933622,-2.8866198,-2.0534902,0.5281348,-0.52101463,1.4355536,-0.6984748,0.43795586,-0.92709523,-0.017419122,3.5530496,-0.081349,1.9505448,-2.3749921,0.534873,0.76170707,0.16536742,0.5196861,3.0022223,-0.4858328,3.03521,0.54402107,2.6663435,1.979862,-0.9962967,-1.7320416,-0.03342844,0.42407542,3.595413,-1.6117653,0.3545658,-0.04659246,0.31985688,-0.026150309,-0.23192315,-0.7717599,-0.21565707,-0.7736926,-0.5046975,1.227758,-0.43180272,0.484445,-0.89038193,0.014431801,0.1918949,0.17461427,-1.4258221,-2.0365622,-0.09458166,-1.2705517,0.036459994,-2.1334145,2.288985,1.9355867,2.4066753,-1.3629861,-1.7842524,-0.91632515,-1.6414409,1.2327462,0.20139617,2.7806344,-0.6410244,-0.09334496,0.79846424,-0.86213934,-0.533028,-2.787159,-1.0958251,1.7385286,-0.4930135,-1.3794388,1.3938285
C1CNCCN1,-0.17321213,-0.007416256,0.047165923,0.005055763,0.28876323,0.14981267,0.11424035,0.19089429,0.00088182837,-0.395035,0.25912642,0.00863584,-0.08989183,0.21808662,-0.011284947,-0.31628656,-0.33677745,-0.039777573,0.4504688,-0.010061307,-0.032220054,0.018251477,-0.24018937,0.1450351,-0.6227318,-0.4805089,-0.41606542,-0.48153394,0.5214036,-0.02107682,0.11289192,0.012145236,0.35052374,0.14013317,0.025516324,-0.3895259,-0.012847997,0.20760408,0.025619237,-0.3383062,-0.3470778,0.45965984,0.26554504,-0.29154104,0.0847899,0.22760268,0.20007557,0.25881016,0.40638605,0.05972152,0.074540846,0.053612478,-0.7664457,-0.016059112,-0.09323116,0.16458979,0.014114929,-0.019843888,0.27698073,0.5008191,0.44845492,-0.059525374,-0.08619013,-0.43335715,-0.35521457,0.106949046,-0.07465124,0.2667173,-0.08381264,0.123831466,-0.15179057,0.023798414,0.6015029,-0.014563339,0.28345627,-0.38132972,0.096796714,0.06831533,-0.011890367,0.080894105,0.5397002,-0.060269114,0.4794199,0.052448597,0.48415643,0.32497162,-0.11027204,-0.3243655,-0.0036960342,0.060711112,0.6785141,-0.22369027,0.1177413,0.010854216,0.035113525,0.029686406,-0.09027994,-0.12488651,-0.027558098,-0.17784822,-0.15648133,0.14912687,-0.027711734,0.040669497,-0.09767441,0.018018994,0.026157517,0.006773822,-0.28448766,-0.3208706,-0.018225433,-0.153975,0.040364735,-0.43464768,0.32427835,0.350965,0.46557596,-0.22895256,-0.3009239,-0.093138345,-0.30356857,0.17275533,0.022902679,0.43427247,-0.091009215,-0.010703599,0.18809493,-0.19707541,-0.060234886,-0.47450212,-0.16509095,0.27248162,-0.15911792,-0.26994625,0.2954857
Cc1ccncc1,-0.015193268,-0.022316601,0.042381853,0.05394628,0.072506964,0.06344779,0.021943972,0.03365563,0.025473218,-0.050777014,-0.029744856,-0.010580066,0.011213904,-0.004743889,-0.06111687,-0.0017652027,-0.044832557,0.015472576,0.047081754,-0.03975884,0.022236377,-0.002562794,-0.09853232,0.016492195,-0.0418358,-0.029107329,-0.11647503,-0.09519259,0.14203706,-0.0166925,0.02337982,-0.034876227,0.050753888,0.038611583,0.030875828,-0.08949211,-0.038471546,0.004103694,-0.02489046,-0.008273546,-0.013943557,0.07012704,0.020388965,-0.097282544,0.0312798,0.060223,0.057036772,0.023121053,0.11848256,0.03594074,-0.055803735,-0.045950845,-0.15017742,-0.010708068,0.034129083,-0.013779694,0.021068068,-0.01764191,-0.032696158,0.12851606,0.028316088,-0.03696986,0.0002598241,-0.00022075325,-0.060587678,0.03641754,0.004548724,0.06589669,0.029236615,0.07106615,-0.023083298,0.037799556,0.09391166,-0.01190194,-0.007088911,-0.033115394,0.01973189,-0.04008557,-0.03906662,0.0047884556,0.116823964,0.020672277,0.039180137,-0.038625658,0.110548735,0.04268092,0.04146379,-0.083348185,0.0074131466,-0.0028238576,0.17063415,0.026609756,0.0798358,0.020462085,-0.017281385,0.038952813,-0.06836814,-0.017621845,0.0031702267,-0.07031171,-0.09567642,-0.03925407,0.039057538,-0.038749553,0.044179827,0.017112697,-0.008096413,-0.019689744,-0.086955294,-0.024024375,-0.004918502,0.04355471,0.04469959,-0.1346316,-0.018807702,0.08309982,0.13384382,-0.035839174,-0.044956498,0.04313279,-0.06949797,-0.012091048,-0.014264357,0.019630466,-0.0005315989,-0.0009788591,0.08472785,-0.07101786,0.032925084,-0.07082839,-0.00093322806,0.018417757,-0.104012944,-0.08282635,0.10154465
NCCN,-1.2381958,0.11421033,0.04617357,-0.31782538,1.782832,0.75098884,0.7800791,1.2159709,-0.18100664,-2.8017507,2.2028942,0.099463634,-0.74066126,1.7945397,0.37264192,-2.511759,-2.368446,-0.4280486,3.1864977,0.12512651,-0.39175326,0.14456473,-1.1582006,0.97924805,-4.6606846,-3.5679271,-2.5611696,-3.1558995,3.17647,-0.06331499,0.710886,0.35692567,2.450325,0.84490895,-0.0033481047,-2.4798646,0.1865338,1.6001513,0.3757955,-2.6237903,-2.7046084,3.1008704,1.9804835,-1.6260072,0.5044238,1.4085671,1.1876203,1.8775381,2.3767474,0.18085076,0.9474205,0.7426858,-4.928885,-0.055547297,-0.97068506,1.3990947,-0.007760713,-0.082151845,2.3701804,2.988073,3.3569162,-0.17773229,-0.6940758,-3.3730395,-2.3909447,0.6120437,-0.60980994,1.6678307,-0.82117313,0.5004275,-1.0808954,-0.026106857,4.138108,-0.09486091,2.2803252,-2.7705302,0.6216217,0.8990237,0.2013838,0.6075134,3.4913397,-0.57022,3.5421798,0.6407087,3.0993552,2.308548,-1.1725892,-2.0112205,-0.03900243,0.4957328,4.174219,-1.8868948,0.40228367,-0.057688072,0.3763939,-0.037817948,-0.26056185,-0.9002574,-0.2523215,-0.89192927,-0.5738448,1.4409106,-0.5121239,0.57211274,-1.0470054,0.01439571,0.22527976,0.20863353,-1.6518741,-2.3769138,-0.10910672,-1.4917315,0.036001857,-2.4706945,2.6780388,2.2492554,2.7920196,-1.5882583,-2.0790055,-1.080088,-1.9072291,1.4425176,0.23618639,3.2456708,-0.7506057,-0.10961008,0.9199925,-0.99370325,-0.6265089,-3.2459385,-1.2809197,2.0300055,-0.5598688,-1.5998183,1.6111913
NCCCCN,-0.8716508,0.07247334,0.0460955,-0.20658219,1.2710721,0.54554963,0.55128926,0.86414397,-0.11841203,-1.9759614,1.5352436,0.06848424,-0.5170289,1.2544723,0.23999053,-1.7575259,-1.6707382,-0.29395154,2.248545,0.079336785,-0.26850465,0.1001548,-0.8440342,0.6933803,-3.2765038,-2.5088632,-1.8241339,-2.239819,2.264834,-0.04780276,0.5072103,0.23814897,1.7309108,0.6017396,0.0067240074,-1.7639085,0.11754416,1.1212249,0.25629413,-1.8411349,-1.894715,2.19506,1.3922085,-1.1674869,0.3593175,1.0035323,0.8481457,1.3224174,1.7003355,0.1383717,0.64868855,0.506372,-3.5019233,-0.041947678,-0.67019546,0.97599715,0.0012783315,-0.060083877,1.6521716,2.136272,2.3593585,-0.13836989,-0.48528448,-2.364689,-1.6913962,0.438093,-0.4257352,1.186318,-0.5668219,0.37093577,-0.7620779,-0.00810077,2.9252598,-0.066859305,1.596679,-1.9505529,0.441785,0.61436206,0.12671328,0.4254369,2.477389,-0.39527476,2.4912183,0.44027483,2.2017126,1.6271713,-0.8071272,-1.4324625,-0.027441809,0.34718016,2.9743512,-1.3165401,0.3033625,-0.034675136,0.25917673,-0.013628937,-0.20117591,-0.6338724,-0.1763039,-0.6468092,-0.4304968,0.999045,-0.34561682,0.39037478,-0.7223274,0.01446053,0.15607248,0.13812892,-1.1832659,-1.6713473,-0.079003155,-1.0332284,0.03694151,-1.7714992,1.8715332,1.5990119,1.9931867,-1.1212468,-1.4679666,-0.7405977,-1.3562375,1.0076526,0.16407621,2.281651,-0.5234497,-0.075901985,0.66806054,-0.72096634,-0.4327344,-2.294863,-0.897216,1.4257581,-0.42127258,-1.1429733,1.1605937
NCCCCCN,-0.7642651,0.060247414,0.046099287,-0.17400053,1.1209497,0.48525596,0.48425373,0.76100504,-0.10008019,-1.7338488,1.3395287,0.059367053,-0.45148996,1.0960586,0.20113993,-1.5364325,-1.4662138,-0.25471926,1.9734339,0.065859996,-0.2323423,0.08718805,-0.7518464,0.60951877,-2.870516,-2.1982803,-1.6081107,-1.9710768,1.9975967,-0.04333456,0.44739532,0.20335384,1.5198846,0.5305821,0.0096739605,-1.5538865,0.097354904,0.9808649,0.22115222,-1.6115329,-1.6573012,1.929406,1.2197073,-1.0331132,0.3168432,0.88474375,0.7486435,1.1596303,1.502051,0.12599789,0.56102073,0.4370647,-3.0833771,-0.037995756,-0.5820464,0.8519044,0.00380384,-0.053707074,1.4416142,1.8863386,2.0668008,-0.12670535,-0.42405754,-2.0690138,-1.4863808,0.38713083,-0.37181112,1.0452247,-0.49235004,0.3329986,-0.6686112,-0.002902411,2.5695524,-0.05867888,1.3960774,-1.7101315,0.3890239,0.5308762,0.10493671,0.37213415,2.1801703,-0.3439662,2.183087,0.38137883,1.9385202,1.4274232,-0.70003,-1.2627383,-0.024000177,0.30359066,2.62257,-1.1492783,0.27448297,-0.027879698,0.22480698,-0.0066315457,-0.18383445,-0.5557737,-0.15393509,-0.5749397,-0.38845062,0.8693908,-0.2968011,0.3370281,-0.6270237,0.014554735,0.13585724,0.11757551,-1.0458066,-1.464476,-0.07008165,-0.89876187,0.0372602,-1.5665301,1.6349723,1.4082696,1.7589885,-0.9843654,-1.2888751,-0.6410938,-1.1947428,0.8800728,0.14287561,1.9989451,-0.4569102,-0.066001445,0.594244,-0.64095557,-0.37589252,-2.015971,-0.78478414,1.2486577,-0.380723,-1.009077,1.0283952
CNC,-2.7575262,0.28752235,0.04607908,-0.77892333,3.9041445,1.6026078,1.7287159,2.6744845,-0.4405887,-6.2249413,4.9704485,0.22751407,-1.6678747,4.033647,0.9223207,-5.638051,-5.2609277,-0.9841509,7.0743623,0.3146067,-0.90278363,0.3284115,-2.4605603,2.1642218,-10.398794,-7.958157,-5.616523,-6.9533334,6.955668,-0.12750931,1.5556669,0.8489754,5.432727,1.8529676,-0.044868343,-5.447681,0.4725672,3.5851884,0.8704672,-5.8682265,-6.062144,6.855615,4.419065,-3.527022,1.1058377,3.0877204,2.595165,4.1787243,5.1808324,0.35705864,2.1856778,1.7219478,-10.843848,-0.11214482,-2.21652,3.152934,-0.045042343,-0.17381503,5.3465486,6.5187373,7.491794,-0.34055445,-1.5594597,-7.553153,-5.290866,1.3330319,-1.3728766,3.6640913,-1.8755705,1.0374821,-2.4025748,-0.10083153,9.165539,-0.21106696,5.1142387,-6.169347,1.367161,2.079139,0.5108027,1.3618165,7.6944914,-1.2951564,7.8988824,1.4716402,6.8204846,5.1329904,-2.6874282,-4.410161,-0.086902745,1.1115483,9.148355,-4.2512527,0.8124666,-0.15286548,0.8619751,-0.13819131,-0.50629926,-2.004327,-0.56726754,-1.9079112,-1.1679318,3.2727017,-1.2021115,1.3255961,-2.3928251,0.013741668,0.5119999,0.5011062,-3.5944254,-5.301733,-0.23406446,-3.3924587,0.031876083,-5.3688946,6.0214496,4.9448066,6.1032267,-3.5239556,-4.6118827,-2.4872894,-4.191173,3.2451277,0.53538114,7.242122,-1.6926279,-0.24957862,1.9643952,-2.1242075,-1.429736,-7.188022,-2.8714793,4.534572,-1.1343689,-3.4936166,3.4789326
Cc1cccc(C)n1,-0.01807794,-0.02177554,0.042855956,0.053625975,0.076348394,0.06553659,0.023868773,0.036175814,0.024973737,-0.055852663,-0.024482843,-0.010481962,0.008921679,0.00011680275,-0.061099954,-0.007030744,-0.048780754,0.014521638,0.055101283,-0.038361333,0.02109922,-0.0029490218,-0.10196392,0.019272046,-0.050978974,-0.037051532,-0.12089516,-0.102038465,0.14783466,-0.017271364,0.026192622,-0.034663633,0.05512818,0.039526656,0.031654604,-0.094034895,-0.03832888,0.008453526,-0.024352437,-0.014625505,-0.020145308,0.07694332,0.024253383,-0.1002689,0.032382183,0.06153235,0.06001472,0.025894092,0.1229141,0.03694597,-0.05343029,-0.044455722,-0.1618337,-0.011828563,0.03311214,-0.010707954,0.021347363,-0.017218696,-0.027456015,0.13582629,0.034620203,-0.037605986,-0.0014749002,-0.0082652345,-0.066155314,0.037864566,0.0037570368,0.06849474,0.027093854,0.07274772,-0.025241595,0.037900086,0.10117931,-0.011588525,-0.0023609772,-0.038272653,0.021137169,-0.040213473,-0.039390653,0.0052286433,0.123384155,0.01867015,0.045986556,-0.03655074,0.11667812,0.047242925,0.038941793,-0.08652838,0.007836276,-0.0018724166,0.17928421,0.02171728,0.08027575,0.019754332,-0.016668692,0.039078668,-0.067945555,-0.018325653,0.0030196924,-0.07311821,-0.09640449,-0.036774136,0.038682994,-0.037815362,0.041217603,0.016544383,-0.007225073,-0.02000845,-0.089927256,-0.028471723,-0.0059870235,0.039720446,0.044559143,-0.13920131,-0.012541123,0.08619192,0.13819182,-0.039912548,-0.04901227,0.040637918,-0.0729385,-0.009464342,-0.013522411,0.027618203,-0.0016515292,-0.00050382316,0.08580884,-0.07398807,0.030561874,-0.07707772,-0.0033587255,0.022955894,-0.10464378,-0.084199056,0.10537499
c1ccncc1,-0.0106707355,-0.02522862,0.04369253,0.0530382,0.063438356,0.05703545,0.018835511,0.029916327,0.02563892,-0.03925665,-0.04311917,-0.011927013,0.01575646,-0.015228881,-0.058700114,0.010182954,-0.036897525,0.017060418,0.027460435,-0.0415463,0.02416224,-0.002851095,-0.09022604,0.010176666,-0.020593047,-0.009707119,-0.10512851,-0.078494824,0.12918688,-0.015748996,0.016732942,-0.031885207,0.040837176,0.03757762,0.02871655,-0.07894018,-0.0373961,-0.007211484,-0.028261874,0.010379657,-0.0009928308,0.052299265,0.01128573,-0.092396155,0.02741947,0.056941673,0.049963325,0.019492714,0.10885711,0.032370836,-0.06131704,-0.05238502,-0.122741506,-0.0052036736,0.037695885,-0.021379717,0.020464547,-0.017445944,-0.044002842,0.110330895,0.012144312,-0.03543973,0.0047614174,0.016766686,-0.04769621,0.035173982,0.0035563367,0.06080798,0.033158742,0.06717831,-0.016591314,0.03958408,0.080097966,-0.012807447,-0.018981975,-0.023433857,0.015585749,-0.03779893,-0.038316216,0.0056567276,0.10215623,0.026172359,0.022596471,-0.044276293,0.09693919,0.032654937,0.048414703,-0.07627413,0.0054469532,-0.005698798,0.15002573,0.038299277,0.07850041,0.023454983,-0.017244507,0.038325273,-0.066878505,-0.019426692,0.003612456,-0.062457927,-0.09387494,-0.04183615,0.039448116,-0.0389199,0.050828166,0.01925043,-0.010460602,-0.018990967,-0.0793746,-0.0146657415,7.119076e-05,0.05288544,0.043697987,-0.12330189,-0.032983292,0.07708937,0.12630709,-0.022982914,-0.035713475,0.050712705,-0.06196786,-0.018857647,-0.016191978,0.00067299977,0.002746569,-0.0032165088,0.081000194,-0.061555643,0.039026547,-0.056109436,0.005036896,0.008682676,-0.1042027,-0.081769265,0.09326914
