smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68,encoded_mdes_69,encoded_mdes_70,encoded_mdes_71,encoded_mdes_72,encoded_mdes_73,encoded_mdes_74,encoded_mdes_75,encoded_mdes_76,encoded_mdes_77,encoded_mdes_78,encoded_mdes_79,encoded_mdes_80,encoded_mdes_81,encoded_mdes_82,encoded_mdes_83,encoded_mdes_84,encoded_mdes_85,encoded_mdes_86,encoded_mdes_87,encoded_mdes_88,encoded_mdes_89,encoded_mdes_90,encoded_mdes_91,encoded_mdes_92,encoded_mdes_93,encoded_mdes_94,encoded_mdes_95,encoded_mdes_96,encoded_mdes_97,encoded_mdes_98,encoded_mdes_99,encoded_mdes_100,encoded_mdes_101,encoded_mdes_102,encoded_mdes_103,encoded_mdes_104,encoded_mdes_105,encoded_mdes_106,encoded_mdes_107,encoded_mdes_108,encoded_mdes_109,encoded_mdes_110,encoded_mdes_111,encoded_mdes_112,encoded_mdes_113,encoded_mdes_114,encoded_mdes_115,encoded_mdes_116,encoded_mdes_117,encoded_mdes_118,encoded_mdes_119,encoded_mdes_120,encoded_mdes_121,encoded_mdes_122,encoded_mdes_123,encoded_mdes_124,encoded_mdes_125,encoded_mdes_126,encoded_mdes_127,encoded_mdes_128,encoded_mdes_129,encoded_mdes_130,encoded_mdes_131,encoded_mdes_132,encoded_mdes_133,encoded_mdes_134,encoded_mdes_135,encoded_mdes_136,encoded_mdes_137,encoded_mdes_138,encoded_mdes_139,encoded_mdes_140,encoded_mdes_141,encoded_mdes_142,encoded_mdes_143,encoded_mdes_144,encoded_mdes_145,encoded_mdes_146,encoded_mdes_147,encoded_mdes_148,encoded_mdes_149,encoded_mdes_150,encoded_mdes_151,encoded_mdes_152,encoded_mdes_153,encoded_mdes_154,encoded_mdes_155,encoded_mdes_156,encoded_mdes_157,encoded_mdes_158,encoded_mdes_159,encoded_mdes_160,encoded_mdes_161,encoded_mdes_162,encoded_mdes_163,encoded_mdes_164,encoded_mdes_165,encoded_mdes_166,encoded_mdes_167,encoded_mdes_168
CN1CCN(C)CC1,0.9066066,-1.5854548,-0.20426317,0.318482,-0.11311703,0.4979609,0.29417133,0.17118761,-0.16030534,-0.60974944,-0.30850613,-0.773858,0.6126,0.5666557,0.028605312,-0.58614415,-0.9296043,0.40157488,-0.27224913,-0.87016416,-0.35583723,-0.60643786,-1.3237063,0.23164038,0.034573045,-0.59773856,0.72357357,-0.9337409,0.0054087266,-0.6696848,-0.13940006,-0.30636606,0.3739063,1.4577355,-0.034568753,-0.6768144,-0.93646014,1.3607284,0.36619803,-0.0061399452,0.0118308775,0.019942805,-0.024446178,0.26543218,0.036912777,1.1252507,-0.72629,-0.30455565,0.24667682,0.62525773,-0.8531305,0.03217932,-0.019373782,-1.2294041,-0.048864,-0.6840212,0.18341774,0.64721745,-0.73634064,0.7181029,0.19375758,0.09395773,-0.790902,0.4792851,0.21857372,0.35546315,0.34180552,-1.1006026,-0.050825145,-0.15656121,0.45798042,-1.1809582,-0.16577533,0.6441007,1.118964,0.46044075,0.3090891,-0.97248167,-0.13715191,0.3350189,-0.5088936,-0.49095023,0.40181524,0.03326106,-0.087963834,-0.35861614,-0.6486206,-0.19148101,-0.64127964,0.10301199,-0.3743922,-0.59121734,-0.2100036,-0.15268028,-0.089078635,-0.83834267,-0.40244442,0.1908705,0.5249947,-0.47434935,0.2583324,0.4287379,-0.012382727,0.0131794885,-0.6888546,0.5905796,0.36589843,-1.038048,0.017716812,-0.15549137,0.5992648,0.7110191,-0.12784697,0.13360491,0.6073158,-0.6093368,0.09454608,-0.36807072,-0.09921154,-0.13308176,-0.6966694,-0.1709184,0.7223141,0.75724465,0.100265816,0.54101014,-0.8920027,-0.18085392,0.14725111,-0.016019177,0.07735872,-0.3484821,0.2850323,-0.86016536,-0.12305624,0.47275317,-0.3104966,0.1603622,-0.19238856,0.7243147,0.6321354,0.48343584,-0.3578582,-0.08545779,-0.052251182,-0.5915026,0.2357683,0.27358812,-0.30061424,0.16370046,-0.24865082,-0.112058595,0.4311933,-0.5428642,-0.56422377,-0.110970624,-0.08515752,-0.0059102178,-0.25221416,1.0491747,-0.31090266,-0.24581085,0.8907837,-1.0565484,0.045020945,0.90974265,0.41212082,-0.11797154,-0.99547434
NCCCN,1.4731518,-2.5222833,-0.34426007,0.46356365,-0.17820552,0.7613405,0.43038252,0.26334947,-0.26403153,-0.9182779,-0.46100587,-1.1646886,0.97725856,0.8927172,0.012249306,-0.9649335,-1.4901459,0.5867268,-0.43134966,-1.3337529,-0.5743261,-0.9504856,-2.0645285,0.36187342,0.041275244,-0.9351653,1.1048293,-1.4888568,-0.028927013,-1.0628386,-0.23873991,-0.46648443,0.5952511,2.3195395,-0.057639178,-1.0612477,-1.4543904,2.1313443,0.58271825,-0.032069962,0.040951505,0.062255934,0.005803354,0.46705192,0.06385157,1.7818815,-1.1214964,-0.50746447,0.4086236,0.9494152,-1.3430747,0.08627387,0.0016137138,-1.9439077,-0.105418675,-1.101746,0.25508243,1.0502769,-1.1346387,1.1129994,0.2890716,0.14176309,-1.2736361,0.7340415,0.3534753,0.5279444,0.57065165,-1.7031615,-0.059506502,-0.25250295,0.719292,-1.8160166,-0.2682067,1.0347996,1.7881966,0.7446277,0.5246362,-1.5258057,-0.23068474,0.5410228,-0.77310336,-0.81129783,0.6781395,0.07620299,-0.17054476,-0.56840855,-0.9981903,-0.31237033,-1.0149086,0.16459352,-0.5605856,-0.9569764,-0.33780771,-0.2430929,-0.16600479,-1.2906348,-0.65137714,0.32916996,0.85762787,-0.742192,0.38199708,0.69536054,-0.023753274,0.0137348175,-1.0982908,0.92500347,0.60667586,-1.6093055,0.027012812,-0.22145909,0.96734005,1.1233866,-0.21617584,0.18535806,0.94631314,-0.94580877,0.1420165,-0.62442535,-0.14918494,-0.23164791,-1.1283202,-0.26640734,1.164564,1.1645029,0.1567561,0.8357627,-1.4048458,-0.28436956,0.27132946,-0.024785277,0.1172095,-0.56927085,0.4135924,-1.3942282,-0.15312728,0.7769346,-0.46007076,0.22774538,-0.26857078,1.1493654,1.0086874,0.740801,-0.5372868,-0.12914667,-0.08029883,-0.9327689,0.37578923,0.40029407,-0.46291226,0.2639731,-0.38339323,-0.2056581,0.69889855,-0.8325854,-0.8553618,-0.20399821,-0.1008596,-0.03729248,-0.36368927,1.6242484,-0.4732472,-0.36508226,1.4395003,-1.6467738,0.0770073,1.417988,0.6377557,-0.21448667,-1.610374
C1CNCCN1,1.1219358,-1.9407927,-0.25752136,0.37346807,-0.13759324,0.5979059,0.34587544,0.20632167,-0.19926615,-0.7267601,-0.36655724,-0.9219366,0.7509453,0.6902005,0.022490904,-0.7301868,-1.1423948,0.47179627,-0.3328389,-1.0461086,-0.43877113,-0.7367724,-1.6045496,0.280912,0.036825355,-0.72563887,0.86809707,-1.1441379,-0.007657014,-0.8186914,-0.17682497,-0.36702037,0.45803985,1.7848749,-0.04334077,-0.82293063,-1.1325685,1.6532724,0.44796634,-0.015727174,0.022913381,0.03613974,-0.012981117,0.34226212,0.047529243,1.374324,-0.87605685,-0.381042,0.30804798,0.7483299,-1.0388672,0.052483156,-0.011283338,-1.5004324,-0.0705572,-0.8423427,0.21058244,0.8001147,-0.8872962,0.86786485,0.22961557,0.112033695,-0.9742739,0.5757872,0.26937535,0.42069918,0.42871413,-1.3292716,-0.054058697,-0.19294699,0.5571857,-1.4218543,-0.20463857,0.7922284,1.3728688,0.5681051,0.39073387,-1.1823504,-0.1726432,0.41321614,-0.60897505,-0.6128386,0.506959,0.0497398,-0.11927368,-0.43817028,-0.7810431,-0.23717256,-0.78278685,0.12642238,-0.44528145,-0.7299559,-0.25851852,-0.1867696,-0.11823921,-1.0101492,-0.49706805,0.24315971,0.65107095,-0.57588565,0.30531135,0.53000647,-0.016458228,0.013611391,-0.84394604,0.71768266,0.45710444,-1.2548255,0.021198945,-0.18035431,0.73877835,0.86740357,-0.16154687,0.1530993,0.7355768,-0.73707134,0.112512335,-0.4654194,-0.11784055,-0.17056948,-0.86070293,-0.20759998,0.8901484,0.9116215,0.12191507,0.6529426,-1.0864787,-0.22009285,0.1942922,-0.01908198,0.092313156,-0.43244645,0.333727,-1.0629063,-0.1347614,0.58837676,-0.3672494,0.18609816,-0.22121884,0.885355,0.7751079,0.58096397,-0.42578152,-0.10178085,-0.063155845,-0.7205387,0.28876668,0.32146147,-0.3623757,0.20135742,-0.29986504,-0.14769736,0.5328256,-0.6529588,-0.67503035,-0.14608392,-0.09097305,-0.017635532,-0.29456738,1.2675899,-0.37239736,-0.29100215,1.0989106,-1.2806842,0.05726496,1.1022784,0.49791127,-0.1548612,-1.228877
Cc1ccncc1,0.06637019,-0.18205269,0.004668545,0.0991565,-0.010338463,0.10792447,0.08955333,0.038442306,-0.0016754493,-0.13803512,-0.089459114,-0.17936017,0.07098093,0.081359625,0.046329666,-0.022066146,-0.09591471,0.12201837,-0.038822778,-0.17296636,-0.02902487,-0.083919235,-0.21618953,0.032160096,0.023631588,-0.08663395,0.15594622,-0.09982903,0.05153528,-0.08068097,0.019667204,-0.0655046,0.04183802,0.16877574,0.0005996977,-0.10116322,-0.1591878,0.21326125,0.03871652,0.032058753,-0.026220059,-0.040808458,-0.06515341,-0.03515493,0.0034465527,0.14391904,-0.13199422,-0.00014721602,-0.002419114,0.14712296,-0.11835541,-0.04795374,-0.0500947,-0.16312897,0.029048901,-0.05198629,0.07715051,0.048921414,-0.13963073,0.12671916,0.043204892,0.027455542,-0.071655184,0.09460728,0.01902014,0.09797183,0.0045093596,-0.19728436,-0.03862846,-0.008040439,0.070371404,-0.22832964,-0.009385433,0.06008488,0.119912535,0.030957408,-0.0063123293,-0.14007537,0.004360955,0.03420652,-0.11667247,-0.01524923,-0.013508908,-0.0309662,0.0382059,-0.040306423,-0.12107486,-0.0087787155,-0.07855065,0.016279332,-0.09666483,-0.0532554,-0.0173283,-0.017031508,0.023012867,-0.16622607,-0.03408028,-0.017022796,0.025838934,-0.06865232,0.07517199,0.029832639,0.010737613,0.01811742,-0.07892756,0.08991414,0.01129131,-0.18422118,-0.001926532,-0.05365115,0.05080626,0.09489701,0.0012538682,0.056486122,0.10169748,-0.11469562,0.022518098,0.01640436,-0.024365786,0.017664637,-0.05097087,-0.03459851,0.061048903,0.14627552,0.014702343,0.10414888,-0.12858579,-0.024391988,-0.0353412,0.0013206708,0.017067548,-0.01882774,0.093463965,-0.0653774,-0.07403922,0.02181492,-0.089531064,0.05743783,-0.07549153,0.08408729,0.07446347,0.09242732,-0.08882139,-0.026223417,-0.010029327,-0.07099198,0.021303168,0.081447355,-0.06340965,0.011031216,-0.048793882,0.031352326,0.035805963,-0.114474945,-0.1288872,0.03070964,-0.06305729,0.042483732,-0.08049095,0.19037427,-0.06602812,-0.067143746,0.06722004,-0.17680064,-0.0034131128,0.15131335,0.073495895,0.019208804,-0.08140904
NCCN,1.6034582,-2.7376387,-0.37648335,0.49691296,-0.19309744,0.82184505,0.4617007,0.28458837,-0.28776294,-0.9892204,-0.49612057,-1.2544556,1.0610783,0.9676696,0.0084994435,-1.0520844,-1.619023,0.6293052,-0.46794254,-1.4403409,-0.62455916,-1.0295192,-2.2348106,0.39177114,0.04278272,-1.012717,1.1924503,-1.6164353,-0.036812827,-1.1531768,-0.2615161,-0.5032848,0.6461486,2.5176594,-0.06295829,-1.1496751,-1.5733532,2.3085165,0.63244903,-0.038012784,0.047657162,0.071996465,0.012772113,0.5134499,0.070134915,1.9328324,-1.2123001,-0.55402464,0.4458242,1.0239162,-1.4556851,0.09868897,0.0064608157,-2.108134,-0.11846065,-1.1977494,0.27156678,1.1429762,-1.2261797,1.2037894,0.31092498,0.15275693,-1.3846204,0.7925385,0.38440934,0.5675795,0.62324524,-1.8416631,-0.06149399,-0.27456555,0.7793934,-1.9619956,-0.29177397,1.1246034,1.9420389,0.8099412,0.5741769,-1.6529772,-0.2521932,0.5883978,-0.8338034,-0.88497925,0.7416763,0.08610755,-0.1895382,-0.6166286,-1.0785482,-0.3401424,-1.100778,0.17877248,-0.6034358,-1.0410396,-0.36718845,-0.26382434,-0.18371151,-1.3946811,-0.708673,0.36090487,0.93407005,-0.8037203,0.4104056,0.75669205,-0.026296701,0.013873637,-1.1923448,1.0018916,0.6620331,-1.7406477,0.029148744,-0.2365849,1.0519046,1.2181613,-0.23653464,0.19725591,1.0241982,-1.0231732,0.15292254,-0.6833395,-0.16060367,-0.25431487,-1.2275954,-0.28842083,1.2662195,1.2581251,0.16976422,0.90354943,-1.5227208,-0.30813232,0.29986858,-0.026786495,0.1263721,-0.62006223,0.4431248,-1.5170019,-0.1601275,0.84689105,-0.4944851,0.24326438,-0.28605485,1.2470404,1.0952832,0.7999163,-0.57850415,-0.13912942,-0.08680751,-1.011172,0.40797347,0.42938915,-0.50024074,0.28696835,-0.41440716,-0.22716975,0.7604458,-0.8992114,-0.9223404,-0.22535291,-0.10444269,-0.04444471,-0.3893004,1.7564701,-0.5105231,-0.39249524,1.5656247,-1.7824453,0.0843801,1.5347804,0.6896587,-0.2367595,-1.7517508
NCCCCN,1.3295245,-2.2851024,-0.30873993,0.42685738,-0.16184995,0.6946839,0.3958909,0.23991448,-0.23796473,-0.8401702,-0.42228627,-1.0658287,0.884936,0.8102162,0.016359717,-0.868871,-1.3481549,0.53984475,-0.39098814,-1.2163396,-0.5189906,-0.86347705,-1.8770242,0.32896495,0.03969786,-0.84977335,1.0083311,-1.3483864,-0.020224877,-0.9633689,-0.21370941,-0.425985,0.5391464,2.1012585,-0.05178475,-0.9637962,-1.3234369,1.9361386,0.5280187,-0.02560423,0.03356408,0.05147825,-0.0018564649,0.41586053,0.056849264,1.6156307,-1.0215135,-0.4562881,0.36766288,0.8673146,-1.2190845,0.072673805,-0.003773883,-1.7630163,-0.091011964,-0.99605715,0.23693755,0.94820756,-1.0338435,1.0130224,0.26507118,0.12967028,-1.1513287,0.66962165,0.3194982,0.48434258,0.51268905,-1.5505784,-0.05731636,-0.22821155,0.6530927,-1.6552162,-0.2422519,0.93590873,1.6187422,0.67272604,0.47011784,-1.3857428,-0.20699845,0.48883352,-0.70627964,-0.7300458,0.60807246,0.06524793,-0.1496423,-0.5153074,-0.9097214,-0.28181633,-0.92038983,0.14896291,-0.51332575,-0.86439085,-0.30543464,-0.22030286,-0.1465127,-1.1759942,-0.58826,0.29423177,0.7734469,-0.6744316,0.35066822,0.6277685,-0.020992968,0.013515219,-0.99473464,0.8402423,0.5457531,-1.4646229,0.024685131,-0.20484284,0.8742133,1.0189991,-0.19371656,0.1723103,0.86060053,-0.8605825,0.13001037,-0.55948985,-0.13668485,-0.20664972,-1.0189059,-0.24204914,1.0525781,1.0614251,0.14236234,0.76107347,-1.2750185,-0.25819653,0.23992802,-0.022639507,0.10716252,-0.5132862,0.38108787,-1.2589611,-0.14535728,0.6998211,-0.42217454,0.21061197,-0.24933176,1.0418276,0.9132867,0.67570186,-0.4919099,-0.1181973,-0.07307486,-0.8465228,0.34038785,0.36828214,-0.42175397,0.23874527,-0.3492249,-0.181914,0.6310938,-0.75915074,-0.7815012,-0.18051285,-0.09695103,-0.029433273,-0.33545187,1.478547,-0.43218112,-0.33491653,1.3005812,-1.497271,0.06886662,1.2894148,0.5805502,-0.1899157,-1.454623
NCCCCCN,1.1831532,-2.043376,-0.27253702,0.38944343,-0.14518473,0.6267388,0.3607277,0.21604197,-0.21139048,-0.7605803,-0.38283917,-0.9650633,0.79085314,0.7261475,0.020541295,-0.7709768,-1.2034514,0.49205396,-0.34984884,-1.096696,-0.46258953,-0.77480316,-1.6859367,0.29542258,0.038089376,-0.76274097,0.90999854,-1.2052215,-0.011358038,-0.8619996,-0.18821608,-0.38472712,0.48197502,1.8787866,-0.045836236,-0.8644769,-1.1899679,1.7371957,0.47227886,-0.019012403,0.026031416,0.04048659,-0.009658337,0.3636671,0.049710706,1.4462004,-0.91959536,-0.4041283,0.3259202,0.7836402,-1.0927199,0.058802627,-0.009247169,-1.5786471,-0.076315634,-0.8883662,0.21843925,0.84418964,-0.9311307,0.9111387,0.2405939,0.11736108,-1.0266699,0.60394204,0.28487548,0.43990958,0.4536071,-1.3950601,-0.05510896,-0.20344648,0.58561945,-1.491336,-0.21581434,0.8351354,1.4460416,0.59945214,0.41455886,-1.2429714,-0.182864,0.4356498,-0.638175,-0.6472473,0.53667027,0.054069333,-0.12835915,-0.46120355,-0.8195578,-0.2506745,-0.8240796,0.13303044,-0.4651722,-0.7700086,-0.27244368,-0.19706616,-0.12666477,-1.0591772,-0.52394533,0.2586236,0.6876262,-0.6053657,0.31872907,0.5588701,-0.018161613,0.013295174,-0.889194,0.7538412,0.48367465,-1.3171853,0.022316532,-0.18790536,0.77930856,0.9126093,-0.1708426,0.15900406,0.77325517,-0.77373946,0.11775735,-0.4933005,-0.12394395,-0.18115999,-0.9073781,-0.217218,0.93844783,0.95636743,0.12770586,0.6849611,-1.1427076,-0.2315297,0.20791571,-0.02046093,0.09692345,-0.45623598,0.34794644,-1.1211138,-0.13743934,0.6212345,-0.3835682,0.19314104,-0.2297313,0.93223745,0.81607324,0.6093488,-0.44567102,-0.107033394,-0.06572663,-0.7586334,0.30431268,0.33564615,-0.3798133,0.21303628,-0.31440794,-0.15769869,0.5619779,-0.6843165,-0.7062055,-0.1565823,-0.092955686,-0.021413468,-0.3066642,1.3300549,-0.39032704,-0.3041707,1.1589961,-1.3448778,0.060575552,1.1583763,0.52225244,-0.16488807,-1.2958812
CNC,3.0341825,-5.108166,-0.7300519,0.8641786,-0.35860214,1.487914,0.8058295,0.51699126,-0.55245596,-1.7701283,-0.8809093,-2.2438686,1.9834107,1.793666,-0.03356351,-2.0085855,-3.036517,1.0976553,-0.8693643,-2.6127245,-1.1769915,-1.9006696,-4.109897,0.7218627,0.061287444,-1.8672723,2.1571987,-3.0219588,-0.123485,-2.1484418,-0.51421714,-0.9086238,1.2052202,4.697054,-0.12085401,-2.120584,-2.8856518,4.257033,1.1827736,-0.105064616,0.1211213,0.1781847,0.089181185,1.0217794,0.13644561,3.5941837,-2.2135875,-1.0699947,0.8560691,1.8434604,-2.6962388,0.2368086,0.058470428,-3.915947,-0.2601024,-2.2551079,0.4530973,2.1624436,-2.2347262,2.2032793,0.55369514,0.27405918,-2.6042025,1.4379386,0.72781754,1.0049894,1.2015672,-3.3655267,-0.08372611,-0.5172773,1.4400473,-3.5686135,-0.5510265,2.113381,3.6351001,1.5293947,1.1202513,-3.0531063,-0.48843035,1.1092559,-1.5028714,-1.6929919,1.4387268,0.19424677,-0.39837894,-1.1474983,-1.9637315,-0.64701396,-2.0473905,0.33464578,-1.0730895,-1.9666237,-0.69047105,-0.49370527,-0.37837955,-2.5377946,-1.3371153,0.71141005,1.7758865,-1.4819396,0.72313315,1.4303801,-0.056399282,0.013586566,-2.229424,1.8469712,1.2722677,-3.1850617,0.05291821,-0.4040986,1.9835256,2.2614846,-0.4585641,0.32902318,1.8836883,-1.87391,0.27329764,-1.3311943,-0.2889453,-0.5032944,-2.3179102,-0.52698725,2.38455,2.2889912,0.31136543,1.6485418,-2.820206,-0.57032734,0.6139799,-0.05077919,0.22841568,-1.1774948,0.7686229,-2.8669147,-0.2347781,1.6146941,-0.87282634,0.41253108,-0.47875553,2.323668,2.0470614,1.4515051,-1.0328875,-0.25091234,-0.15612574,-1.8770849,0.7625439,0.7508607,-0.9096564,0.5427997,-0.75469834,-0.46267816,1.437171,-1.6312364,-1.656977,-0.46122175,-0.14515047,-0.12479276,-0.67055064,3.2100837,-0.9216213,-0.694512,2.9539797,-3.274215,0.16497028,2.8223126,1.2593013,-0.47927985,-3.3064156
Cc1cccc(C)n1,0.076917715,-0.20177986,0.0016511567,0.10251073,-0.011985221,0.11276014,0.09224127,0.040094577,-0.0033578016,-0.14605144,-0.09280718,-0.18869661,0.078612104,0.08777183,0.046492234,-0.02922345,-0.107091114,0.12661451,-0.041443355,-0.18233445,-0.03388218,-0.092184775,-0.2315894,0.035809834,0.023647627,-0.09420304,0.16308525,-0.11191365,0.051876463,-0.0891552,0.016473144,-0.06915662,0.0472802,0.18687558,-0.0003642994,-0.109721504,-0.17081675,0.22913466,0.044060837,0.030915774,-0.026242724,-0.040307175,-0.06456563,-0.031687286,0.0035521516,0.15731563,-0.14060044,-0.0048692077,0.0013480596,0.152845,-0.12869512,-0.047081254,-0.04910062,-0.17790443,0.028948303,-0.061738905,0.07807784,0.057125412,-0.1486587,0.13512549,0.046480097,0.027841412,-0.08186317,0.09997742,0.021898847,0.10188101,0.008697495,-0.20989802,-0.0386945,-0.010306807,0.075388394,-0.2410159,-0.011875939,0.068354756,0.13371852,0.037617877,-0.0017693415,-0.15259872,0.0026723621,0.03776349,-0.12167828,-0.021228068,-0.007657487,-0.03013393,0.036379218,-0.045440894,-0.12870221,-0.011454286,-0.08627023,0.017096706,-0.100328036,-0.060004108,-0.019661952,-0.018300055,0.021008879,-0.174717,-0.03920857,-0.013306774,0.03326337,-0.07512555,0.0777123,0.035078302,0.010288177,0.01717852,-0.087479815,0.09650889,0.015734717,-0.19582134,-0.0013428237,-0.055895835,0.0578214,0.103213415,-0.0010177579,0.05759631,0.10870448,-0.12105398,0.024121605,0.011188399,-0.02570849,0.015030105,-0.05998392,-0.035492543,0.07027041,0.1553522,0.015250529,0.11036481,-0.13910207,-0.026508441,-0.033247866,0.0008096476,0.01806261,-0.023662817,0.0960926,-0.07585786,-0.07450818,0.02795133,-0.09278689,0.058737062,-0.0778246,0.093837894,0.08169139,0.09839641,-0.09293329,-0.026587855,-0.010287337,-0.07938428,0.024662586,0.084007494,-0.0674201,0.013357814,-0.05122399,0.029313903,0.040407225,-0.12058224,-0.13496065,0.028484792,-0.06291066,0.04214407,-0.082970716,0.20235887,-0.07010451,-0.069763735,0.07895773,-0.18880916,-0.002219135,0.16249456,0.0785645,0.018016176,-0.09289582
c1ccncc1,0.04653334,-0.145849,0.010142265,0.09317626,-0.00712204,0.09935817,0.08434066,0.03528271,0.0021299124,-0.12329288,-0.08335169,-0.1620209,0.05706533,0.0698729,0.045817405,-0.008495949,-0.075610116,0.113708705,-0.033961643,-0.15581964,-0.020111445,-0.06869315,-0.18856266,0.025773369,0.023737036,-0.07269074,0.14323872,-0.07741809,0.050714,-0.06400448,0.02518743,-0.059226964,0.031818215,0.13586831,0.0020353873,-0.08516588,-0.138241,0.184678,0.029471654,0.03493503,-0.025762359,-0.041200887,-0.067096174,-0.041529212,0.0036425216,0.119851656,-0.116575554,0.008366361,-0.008796468,0.13694914,-0.09904135,-0.049780868,-0.052505095,-0.13564399,0.028780136,-0.034699623,0.075545646,0.034132995,-0.12319023,0.111697726,0.036574252,0.025529727,-0.05322074,0.08403127,0.014144474,0.090568624,-0.0027017035,-0.17430878,-0.038545616,-0.0035990123,0.061135672,-0.20427029,-0.0049457997,0.04485157,0.09517355,0.018571623,-0.013699893,-0.11709781,0.0074958554,0.02732626,-0.10795143,-0.004867304,-0.023820959,-0.031878382,0.041681655,-0.030891709,-0.107121125,-0.004717272,-0.06369808,0.014839452,-0.09034489,-0.04040625,-0.013680709,-0.014534941,0.026838236,-0.15072618,-0.024662985,-0.023368984,0.011326544,-0.05693429,0.06974564,0.019653216,0.0122093605,0.02004731,-0.06305866,0.07732214,0.0031901821,-0.16284789,-0.002506448,-0.049001038,0.038140357,0.07921723,0.0051576486,0.05380376,0.088552624,-0.102987975,0.01991937,0.026219662,-0.021739785,0.022609416,-0.03482696,-0.03302794,0.04393962,0.12949345,0.014074211,0.09262711,-0.10956668,-0.019994335,-0.03903356,0.0014754147,0.014694314,-0.010212954,0.08826895,-0.046152517,-0.07289058,0.01032123,-0.084294945,0.05532773,-0.07127399,0.06663174,0.0605217,0.081278615,-0.081489384,-0.02532484,-0.009285459,-0.05657197,0.01504373,0.07721877,-0.057040155,0.006761985,-0.044228073,0.034397263,0.027199648,-0.10349368,-0.11778705,0.03490255,-0.06396921,0.043460026,-0.07561126,0.16772601,-0.058963306,-0.062803805,0.0451153,-0.15402074,-0.0045754816,0.13045403,0.064074725,0.020979773,-0.059705347
