smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54
CN1CCN(C)CC1,-0.06833498,-0.016191486,0.047900338,-0.10147605,0.042488433,0.09634851,-0.10431754,-0.01687395,0.036685325,0.050248716,0.017404763,0.08884686,0.14510041,-0.05736137,0.06977601,0.108021446,-0.1036174,0.020263143,0.1027972,0.025674487,0.11045216,0.053813532,-0.029706804,-0.06291701,-0.013287328,-0.08902286,0.005405941,0.037761755,-0.033882663,-0.12407938,0.0006739041,-0.07331498,-0.037698694,0.078425184,0.037040167,-0.09671489,-0.068658344,0.092628494,0.017437698,-0.012897242,0.077779226,0.08524217,0.10083608,0.034742698,-0.035261128,-0.016503492,0.08600434,0.08355004,0.010760875,0.045488633,0.05062112,-0.072883636,-0.04238473,0.0047981665,-0.033202935
NCCCN,-0.06833586,-0.016190242,0.04789958,-0.10147664,0.042488337,0.09634799,-0.10431791,-0.016873723,0.03668461,0.050248466,0.017404774,0.088845894,0.14509824,-0.05736006,0.0697755,0.10802168,-0.10361813,0.020261895,0.10279681,0.025674852,0.11045171,0.053816095,-0.029707987,-0.06291811,-0.013286596,-0.08902319,0.005405617,0.03776095,-0.033882782,-0.12407982,0.00067466963,-0.07331598,-0.037700478,0.07842386,0.037039414,-0.096714005,-0.06866024,0.09263039,0.01743836,-0.012898849,0.07777966,0.08524295,0.10083688,0.034742184,-0.035259593,-0.016504135,0.08600432,0.08355093,0.010760302,0.04548854,0.050621442,-0.07288313,-0.042384334,0.004798609,-0.033202853
C1CNCCN1,-0.06833556,-0.016190898,0.04790037,-0.10147621,0.04248842,0.09634834,-0.10431752,-0.016873907,0.036685474,0.05024843,0.017404312,0.088846326,0.14509949,-0.05736044,0.069776006,0.10802095,-0.10361816,0.020261977,0.10279651,0.025675045,0.11045241,0.053814493,-0.029707383,-0.06291837,-0.013286347,-0.08902317,0.0054060603,0.037761465,-0.03388242,-0.12407939,0.0006741816,-0.0733159,-0.03769908,0.078425534,0.03703977,-0.09671382,-0.06865833,0.092629865,0.017436882,-0.012898097,0.07777893,0.08524243,0.100836866,0.03474211,-0.03526069,-0.01650342,0.08600446,0.08355064,0.0107605625,0.045487363,0.05062047,-0.072883025,-0.0423844,0.004797709,-0.033202033
Cc1ccncc1,-0.068336345,-0.01618978,0.04789891,-0.10147719,0.042489395,0.09634921,-0.10431772,-0.016873203,0.036684476,0.050248556,0.017404845,0.08884518,0.14509895,-0.057359967,0.06977498,0.10802242,-0.10361819,0.020262025,0.10279723,0.0256748,0.11045249,0.05381657,-0.029707845,-0.06291781,-0.013287647,-0.08902286,0.005405181,0.037761338,-0.033882525,-0.1240807,0.00067431014,-0.073315345,-0.037700716,0.07842308,0.037039783,-0.09671439,-0.068660825,0.09262962,0.017439289,-0.012897862,0.077779,0.0852436,0.10083647,0.0347431,-0.03525987,-0.016503517,0.08600462,0.083550036,0.01076038,0.045488015,0.050621487,-0.072882906,-0.042384453,0.0047983797,-0.033202544
NCCN,-0.068335816,-0.016189892,0.047899447,-0.10147673,0.042488515,0.09634827,-0.10431786,-0.016873647,0.03668469,0.05024889,0.017404523,0.08884579,0.14509836,-0.057359934,0.069775485,0.108021975,-0.10361796,0.020262312,0.10279697,0.025674691,0.11045164,0.053816065,-0.029707313,-0.06291793,-0.013286645,-0.08902304,0.005405399,0.037761196,-0.033882678,-0.12408005,0.0006740531,-0.07331543,-0.037701003,0.07842403,0.0370396,-0.096714176,-0.06866042,0.09263018,0.017438496,-0.012898993,0.077779256,0.08524319,0.100836374,0.034742214,-0.035259854,-0.016503975,0.086004145,0.083550885,0.010760374,0.04548873,0.05062162,-0.07288313,-0.042384505,0.004798156,-0.03320276
NCCCCN,-0.06833598,-0.016190108,0.047899827,-0.101476334,0.04248847,0.09634813,-0.10431777,-0.016873844,0.03668454,0.05024822,0.017405313,0.08884649,0.14509849,-0.05736077,0.06977554,0.108021036,-0.10361815,0.020261765,0.10279643,0.025675325,0.11045158,0.053815667,-0.029708628,-0.062917955,-0.013286788,-0.08902328,0.0054056933,0.037761107,-0.033882752,-0.12407982,0.0006752284,-0.07331587,-0.03770009,0.07842404,0.03703903,-0.096714,-0.06865986,0.09262994,0.017438266,-0.0128984265,0.07778017,0.08524281,0.10083686,0.034742437,-0.035259817,-0.016503777,0.08600472,0.08355058,0.010760291,0.045488395,0.050621074,-0.07288295,-0.042384386,0.0047987625,-0.03320311
NCCCCCN,-0.06833567,-0.016190194,0.047900163,-0.10147599,0.042488605,0.09634814,-0.10431772,-0.016873928,0.03668449,0.050247658,0.017405272,0.08884652,0.14509828,-0.05736065,0.069775455,0.108020976,-0.10361835,0.020261727,0.10279636,0.025675384,0.11045158,0.053815667,-0.029708922,-0.06291784,-0.013286881,-0.08902314,0.005405507,0.03776086,-0.03388287,-0.12407972,0.0006752955,-0.07331597,-0.03769987,0.07842382,0.037039082,-0.09671417,-0.06865989,0.092629604,0.017438207,-0.012898523,0.0777805,0.08524324,0.10083678,0.03474229,-0.035260018,-0.016503552,0.086004674,0.08355062,0.010760279,0.045488294,0.050621014,-0.072882526,-0.042384274,0.0047987215,-0.033203002
CNC,-0.06833506,-0.016192462,0.047899075,-0.10147622,0.042488024,0.096347764,-0.10431775,-0.016874142,0.036685564,0.050250527,0.0174045,0.088846326,0.14510007,-0.05736106,0.06977558,0.10802216,-0.1036172,0.020263419,0.10279836,0.02567331,0.11045148,0.053814135,-0.0297064,-0.06291758,-0.0132874735,-0.08902286,0.0054062223,0.037761405,-0.033882692,-0.12407905,0.0006738184,-0.07331416,-0.03770013,0.07842485,0.03704038,-0.09671439,-0.06865963,0.09262931,0.017439283,-0.012897788,0.07777967,0.08524197,0.1008365,0.034743924,-0.035259422,-0.016505554,0.08600444,0.083549574,0.010760445,0.045489546,0.05062293,-0.07288463,-0.042385094,0.004799133,-0.033202752
Cc1cccc(C)n1,-0.06833619,-0.016189396,0.04789907,-0.10147719,0.04248988,0.09634946,-0.10431809,-0.016873207,0.036684033,0.050248235,0.01740472,0.088845246,0.14509962,-0.05735988,0.06977516,0.108023465,-0.103618115,0.02026271,0.10279711,0.0256749,0.1104526,0.053816378,-0.029707558,-0.06291683,-0.013288142,-0.08902265,0.0054049464,0.037761435,-0.03388255,-0.12408061,0.0006736433,-0.073314816,-0.03770075,0.07842218,0.037040144,-0.09671482,-0.06866153,0.092628755,0.017439717,-0.01289757,0.077778615,0.08524473,0.10083589,0.03474294,-0.035260465,-0.016502831,0.086004145,0.08354977,0.010760633,0.04548868,0.05062153,-0.07288255,-0.042384043,0.0047982167,-0.033202525
c1ccncc1,-0.0683368,-0.016189203,0.047899004,-0.10147707,0.04248943,0.09634959,-0.10431746,-0.016873185,0.036684934,0.050248515,0.017404448,0.08884516,0.14509861,-0.05735975,0.069774784,0.10802132,-0.10361836,0.020261563,0.102796726,0.025675,0.11045263,0.05381697,-0.02970757,-0.06291878,-0.013287049,-0.08902295,0.005405239,0.037761666,-0.03388208,-0.12408081,0.0006743157,-0.07331585,-0.03770093,0.07842442,0.037039287,-0.096714,-0.06866005,0.092630275,0.017438173,-0.012898171,0.0777786,0.08524301,0.100836664,0.034743138,-0.035260227,-0.016503198,0.08600478,0.08355041,0.010760119,0.04548682,0.050620884,-0.07288273,-0.042385086,0.004797509,-0.033202156
