smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68
CN1CCN(C)CC1,0.046194937,-0.037739266,-0.0538437,0.06857756,-0.026636537,0.123328805,0.075541556,-0.036701083,0.000715374,0.09025846,-0.019848442,-0.02693268,-0.023086268,0.01595524,-0.013992058,-0.040351234,0.013975825,-0.07905147,-0.050803803,0.12987311,0.052268676,-0.054878317,0.022163488,0.07895487,0.09832053,-0.048127975,-0.043541767,0.0013441574,-0.009557925,0.03417263,-0.007325872,0.037164547,-0.02370471,-0.017952606,-0.07606887,0.07641097,-0.013333272,0.04226055,-0.09048413,-0.05669247,-0.061210815,-0.03920265,0.022318516,0.009708175,0.049014296,0.05049786,-0.047925595,-0.07667066,-0.050552573,-0.06822439,0.042943195,0.0115730865,0.08584368,0.004850189,-0.055619985,-0.097668245,-0.063073575,-0.103289984,-0.032092724,-0.066657014,-0.0795122,-0.054987203,0.011318684,0.015415839,0.02231057,0.10477012,0.0677573,0.09373889,-0.05337178
NCCCN,0.046194367,-0.037735578,-0.053841703,0.068578646,-0.026639333,0.12332933,0.07554391,-0.036703907,0.00071507134,0.09025883,-0.019848015,-0.026930258,-0.023089185,0.015955824,-0.013991473,-0.040353436,0.013978595,-0.07905496,-0.050802704,0.12987344,0.052272104,-0.054878887,0.022163933,0.07895097,0.09831932,-0.048124433,-0.04353624,0.001340583,-0.009555807,0.034167454,-0.0073246625,0.037164167,-0.023702921,-0.017950185,-0.07606595,0.07641444,-0.013334315,0.042258225,-0.09048217,-0.056692112,-0.061209,-0.0392023,0.022317674,0.0097053945,0.049017884,0.05049858,-0.047923848,-0.07667176,-0.050553534,-0.06822364,0.04294347,0.011574489,0.08584377,0.004853906,-0.05561783,-0.097667776,-0.063075036,-0.10329387,-0.032092083,-0.06665896,-0.079509296,-0.054986876,0.011317134,0.01541721,0.022309225,0.104770854,0.06775584,0.09373912,-0.053369883
C1CNCCN1,0.04619371,-0.03773578,-0.053843997,0.06857777,-0.026637767,0.12333055,0.07554468,-0.036702506,0.0007138336,0.09025818,-0.019849002,-0.026931893,-0.023088444,0.015955891,-0.0139906015,-0.04035397,0.013978437,-0.07905497,-0.050803043,0.12987456,0.052271776,-0.054878805,0.022164393,0.07895218,0.098321676,-0.04812566,-0.04353846,0.0013418086,-0.00955499,0.034169324,-0.007325524,0.037164494,-0.02370337,-0.017950308,-0.07606735,0.07641294,-0.013333626,0.042257734,-0.09048139,-0.05669165,-0.06120924,-0.0392024,0.022319317,0.009706356,0.04901816,0.050497588,-0.047923323,-0.07667022,-0.05055183,-0.068224825,0.04294528,0.0115752155,0.08584288,0.0048527606,-0.05561779,-0.097668454,-0.06307445,-0.10329397,-0.03209193,-0.06665863,-0.07951009,-0.05498688,0.011317108,0.01541661,0.022308093,0.10477096,0.06775458,0.09374025,-0.05337019
Cc1ccncc1,0.046193752,-0.03773566,-0.053844947,0.06857873,-0.026638139,0.12332967,0.07554272,-0.036703475,0.0007122271,0.09025782,-0.01984929,-0.026930274,-0.02308717,0.015957065,-0.013992544,-0.040353894,0.013976403,-0.07905541,-0.050803166,0.12987064,0.052269638,-0.054878775,0.022161413,0.07895285,0.09832376,-0.04812535,-0.043538965,0.0013458747,-0.009554531,0.03417007,-0.0073272698,0.03716287,-0.023702446,-0.017948298,-0.076064326,0.076415055,-0.013333816,0.042260103,-0.09048278,-0.056691524,-0.06120874,-0.039203193,0.022317115,0.009709936,0.049019024,0.050497398,-0.04792487,-0.07667121,-0.05055429,-0.06822548,0.042946022,0.011577216,0.08584449,0.004850722,-0.05561971,-0.097666584,-0.063074924,-0.103293605,-0.03209396,-0.06665825,-0.07951096,-0.054988317,0.011319235,0.015419097,0.02230947,0.10476872,0.067755446,0.0937394,-0.053369265
NCCN,0.04619391,-0.037736055,-0.05384183,0.06857884,-0.026639618,0.123330064,0.07554389,-0.036705256,0.000714683,0.09025864,-0.019846968,-0.026929928,-0.023088433,0.01595782,-0.013991308,-0.04035432,0.013978807,-0.079055645,-0.050802622,0.1298748,0.052272588,-0.05487819,0.022163983,0.07895036,0.09831832,-0.048125144,-0.043537416,0.0013408512,-0.009555817,0.034167353,-0.0073262816,0.037164338,-0.023701305,-0.017951054,-0.07606607,0.07641457,-0.013334036,0.042257227,-0.09048149,-0.056693226,-0.061208572,-0.03920257,0.022318002,0.00970575,0.049018487,0.05049781,-0.047924027,-0.07667184,-0.050553434,-0.06822358,0.042944387,0.011575828,0.0858437,0.0048540477,-0.055617195,-0.09766817,-0.0630745,-0.10329401,-0.032091912,-0.06665781,-0.079508685,-0.054986164,0.011316203,0.015415677,0.022309093,0.104771614,0.0677554,0.09374032,-0.053370077
NCCCCN,0.046195135,-0.037736133,-0.053841803,0.06857833,-0.026639279,0.123329006,0.07554294,-0.036703363,0.00071635284,0.09025875,-0.019848034,-0.026930593,-0.02308948,0.015954357,-0.0139918905,-0.04035278,0.013978615,-0.07905425,-0.050802387,0.12987334,0.052271888,-0.0548783,0.022163853,0.07895098,0.09831944,-0.04812418,-0.043536406,0.0013398249,-0.009556888,0.034167558,-0.007324021,0.037163906,-0.023704287,-0.017950157,-0.07606618,0.076414466,-0.0133342855,0.04225804,-0.09048268,-0.056691684,-0.061209142,-0.039201133,0.022317376,0.009704683,0.049016416,0.050499167,-0.047923423,-0.07667168,-0.0505535,-0.06822397,0.042942554,0.011574025,0.08584388,0.00485354,-0.05561829,-0.09766755,-0.06307507,-0.10329259,-0.032092217,-0.066659525,-0.079510145,-0.054986395,0.011317536,0.015418203,0.022309009,0.10477081,0.06775674,0.093737856,-0.053370178
NCCCCCN,0.046195474,-0.03773683,-0.053840987,0.06857868,-0.026639001,0.12332789,0.07554306,-0.036703277,0.00071654934,0.09025937,-0.019847244,-0.026930671,-0.02308919,0.015954088,-0.013992073,-0.040352564,0.013978265,-0.07905414,-0.050802417,0.12987238,0.052271854,-0.054879025,0.022163682,0.078951105,0.09831868,-0.0481246,-0.04353617,0.0013397299,-0.009557638,0.034167733,-0.007323184,0.037164383,-0.02370444,-0.01795093,-0.07606665,0.076413564,-0.01333401,0.042258665,-0.09048308,-0.056691743,-0.06120997,-0.039201193,0.022316866,0.009704413,0.049015686,0.050499618,-0.04792348,-0.07667217,-0.050553877,-0.06822348,0.04294184,0.011573006,0.0858445,0.004853758,-0.05561848,-0.09766725,-0.0630754,-0.10329205,-0.032091927,-0.066659525,-0.07951015,-0.054986805,0.011317853,0.015418041,0.022309663,0.10477054,0.06775746,0.09373738,-0.05337055
CNC,0.046194274,-0.037735607,-0.05384277,0.0685783,-0.026638754,0.12332853,0.07554329,-0.036703944,0.0007115705,0.09025825,-0.019848537,-0.02692965,-0.023090009,0.015956912,-0.013990847,-0.04035654,0.013978848,-0.07905529,-0.050802387,0.12987518,0.05226976,-0.05488088,0.022167804,0.078950174,0.098318845,-0.048126996,-0.04353831,0.001341097,-0.009554766,0.03416878,-0.0073292353,0.03716117,-0.023700418,-0.017949635,-0.07606611,0.076414816,-0.013337132,0.042258542,-0.09048344,-0.05669092,-0.061211426,-0.039204597,0.022318196,0.009709844,0.049020287,0.050498255,-0.047925185,-0.07666992,-0.050551046,-0.0682226,0.0429483,0.011573133,0.08584122,0.0048538195,-0.055618037,-0.0976717,-0.06307464,-0.103296585,-0.032090504,-0.066657975,-0.07950807,-0.054986805,0.011318304,0.0154139055,0.022311775,0.10477277,0.06775269,0.09374115,-0.053369686
Cc1cccc(C)n1,0.04619576,-0.03773553,-0.05384534,0.068576016,-0.026639579,0.12332836,0.07554113,-0.03670194,0.0007131137,0.090259746,-0.019849861,-0.026928458,-0.023087796,0.015953775,-0.013991217,-0.040352724,0.01397494,-0.07905322,-0.05080323,0.12986793,0.052270483,-0.054877684,0.022162708,0.07895584,0.09832501,-0.04812737,-0.04353778,0.0013445094,-0.009557065,0.034169253,-0.0073242877,0.03716237,-0.023706224,-0.0179476,-0.076065876,0.076414,-0.013335153,0.04226014,-0.090483814,-0.056691065,-0.06120916,-0.03920256,0.022318684,0.009705998,0.049016498,0.050496586,-0.04792557,-0.076672204,-0.050554678,-0.068222515,0.04294531,0.011572705,0.0858421,0.0048493473,-0.055619042,-0.09766697,-0.0630767,-0.10329154,-0.03209318,-0.066660576,-0.07951307,-0.054990195,0.011323564,0.015417914,0.02230914,0.10476787,0.067754716,0.093736626,-0.053369552
c1ccncc1,0.046192676,-0.037734795,-0.053846393,0.06857893,-0.026638135,0.12333056,0.07554521,-0.036703773,0.0007106564,0.090259336,-0.019850133,-0.026930867,-0.023087706,0.015957467,-0.013992976,-0.040356357,0.0139777865,-0.07905735,-0.05080175,0.12987041,0.05227121,-0.054879017,0.02216345,0.07895126,0.09832512,-0.048124008,-0.043538496,0.0013456605,-0.009552635,0.0341696,-0.007328908,0.03716243,-0.023700677,-0.017947037,-0.07606564,0.0764137,-0.01333189,0.042260215,-0.090483904,-0.056690607,-0.06120809,-0.03920379,0.022317816,0.009711439,0.049021993,0.050496593,-0.047924705,-0.07667084,-0.05055359,-0.06822566,0.04294974,0.01157789,0.08584424,0.004851642,-0.05561952,-0.09766671,-0.063073665,-0.10329534,-0.032094654,-0.0666556,-0.07951056,-0.054988097,0.011316754,0.015418318,0.022310002,0.10477108,0.067754745,0.093743026,-0.053367283
