smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68,encoded_mdes_69,encoded_mdes_70,encoded_mdes_71,encoded_mdes_72,encoded_mdes_73,encoded_mdes_74,encoded_mdes_75,encoded_mdes_76,encoded_mdes_77,encoded_mdes_78,encoded_mdes_79,encoded_mdes_80,encoded_mdes_81,encoded_mdes_82,encoded_mdes_83,encoded_mdes_84,encoded_mdes_85
CN1CCN(C)CC1,-0.040612783,0.050236117,0.04374873,-0.07802811,0.06724732,-6.9490634e-06,8.907681e-05,0.021955196,-0.11498801,-0.01014299,0.01655968,0.030417483,-0.016072191,-0.08031379,-0.013257487,-0.11519365,0.091780774,0.033835977,0.039846927,0.045622304,-0.07960325,-0.0055806525,-0.07919037,-0.08780181,0.091659516,0.013852401,-0.11242508,0.05074709,-0.07240102,-0.0109130405,0.028606445,-0.02832856,-0.03692221,0.0056267167,0.032165654,-0.0393624,0.011513395,0.021306606,0.067726575,-0.03188386,0.003076896,-0.04329007,0.05851817,-0.09546578,-0.01989473,0.06413724,-0.010790626,0.09390095,-0.026456576,-0.04484651,0.057825297,0.012630685,0.07352266,0.0048666187,0.0382125,-0.07408267,-0.1299909,-0.05943954,0.08490224,0.025832139,0.06663838,0.1017004,-0.00831192,-0.13011222,0.07110807,0.01468799,0.06837181,0.05432058,-0.11859434,-0.017844701,0.031890914,0.049505554,-0.05316029,-0.046559054,-0.015870519,0.035097405,0.022548554,0.11472166,-0.0031172484,0.002629769,-0.0060542375,0.01737044,0.0077401297,-0.06089347,-0.043290205,-0.048755378
NCCCN,-0.04060688,0.050237603,0.043752097,-0.0780207,0.06725076,1.0398217e-06,8.6653046e-05,0.021962363,-0.11498963,-0.0101435715,0.016563328,0.030413384,-0.01607037,-0.080308355,-0.013254508,-0.11520145,0.09179641,0.033848427,0.03984223,0.045619905,-0.07960253,-0.005587183,-0.079186335,-0.08780096,0.09165895,0.013859597,-0.11242151,0.050748307,-0.07239679,-0.010913178,0.028608887,-0.028328117,-0.036923826,0.0056314715,0.03215277,-0.039371658,0.011503682,0.021301076,0.06772352,-0.031890478,0.0030711144,-0.04329108,0.05851464,-0.09546915,-0.019891914,0.06414037,-0.010795659,0.093897074,-0.02645531,-0.044844266,0.057809584,0.012639729,0.07351352,0.004866708,0.038221605,-0.074081734,-0.1299954,-0.059447613,0.084905304,0.02582839,0.066637546,0.101693556,-0.008317225,-0.13011238,0.07111956,0.014687353,0.06836184,0.054314904,-0.11859289,-0.017844597,0.031891126,0.049505077,-0.053154983,-0.046565093,-0.015860934,0.03509593,0.022555118,0.11472391,-0.0031187627,0.0026218127,-0.0060587376,0.017366178,0.007738957,-0.06089152,-0.043287177,-0.048759617
C1CNCCN1,-0.040610287,0.050235197,0.043755412,-0.078026116,0.067247376,-2.863817e-07,8.667121e-05,0.021958636,-0.11498911,-0.010144521,0.016563706,0.030416075,-0.016070783,-0.08031053,-0.013253722,-0.11519692,0.091787204,0.03384389,0.039844103,0.04562223,-0.07960125,-0.00557998,-0.07919133,-0.08779893,0.09166325,0.013857202,-0.11242246,0.05074861,-0.072399914,-0.0109102465,0.028607676,-0.028330818,-0.036921352,0.0056303996,0.032157183,-0.03936661,0.011507809,0.021303978,0.06772584,-0.031888723,0.0030707195,-0.043292392,0.058514655,-0.095467895,-0.01989574,0.06413719,-0.010792804,0.093899965,-0.026456472,-0.04484816,0.05781588,0.012633986,0.07351824,0.0048689283,0.038214214,-0.07408162,-0.12999415,-0.059443153,0.08490753,0.025831103,0.06664118,0.10169543,-0.00831604,-0.13010874,0.07111339,0.014690164,0.06836354,0.054316334,-0.11859381,-0.017844215,0.03188934,0.049504507,-0.053160414,-0.046563145,-0.015867345,0.035096157,0.022553146,0.11472064,-0.0031173434,0.002624073,-0.0060570277,0.017368192,0.0077389525,-0.060891997,-0.043286122,-0.04875754
Cc1ccncc1,-0.04062487,0.05023341,0.04374387,-0.078023605,0.06724059,1.13938e-05,8.2091894e-05,0.021945845,-0.114988305,-0.0101367,0.016541053,0.03042157,-0.016066793,-0.08031322,-0.01324467,-0.11517631,0.09178005,0.033846203,0.039852627,0.045627516,-0.07960082,-0.0056020096,-0.07918303,-0.08779745,0.09166136,0.013856338,-0.112416044,0.050740317,-0.072394535,-0.01090554,0.028614698,-0.028332047,-0.03692246,0.005595108,0.032149866,-0.039349936,0.011512678,0.021311393,0.06772505,-0.03188294,0.003070727,-0.04329578,0.058514282,-0.09547134,-0.019908467,0.06413901,-0.0107802935,0.093889065,-0.026442312,-0.04483697,0.05783235,0.012624595,0.07353264,0.004872028,0.038199455,-0.074094,-0.12999284,-0.059430923,0.08488774,0.02584723,0.066635124,0.10169756,-0.008315381,-0.13010311,0.07109901,0.014685244,0.06838079,0.054304946,-0.118588105,-0.017842362,0.031894155,0.049512353,-0.05317574,-0.04655017,-0.015879687,0.03510925,0.022550367,0.11472596,-0.0031327382,0.0026220446,-0.0060427785,0.017376013,0.007744491,-0.060889747,-0.04327871,-0.04875255
NCCN,-0.04060366,0.050237034,0.0437541,-0.078022435,0.06724622,1.8901192e-06,8.87732e-05,0.021964384,-0.1149893,-0.010148265,0.016566765,0.030411638,-0.016069986,-0.08030704,-0.013253411,-0.1152011,0.0917965,0.033846866,0.039842065,0.045624886,-0.0795958,-0.005586343,-0.07918882,-0.08780104,0.0916613,0.01386076,-0.112421095,0.050743096,-0.07239434,-0.010913858,0.028607322,-0.028333,-0.036926743,0.0056292713,0.03214911,-0.039370716,0.01150598,0.021301525,0.06772452,-0.031891868,0.0030699521,-0.04328719,0.05851412,-0.095472604,-0.019892398,0.06414036,-0.010796932,0.09390232,-0.026452597,-0.044845194,0.057808228,0.012644541,0.07351323,0.0048646927,0.03822107,-0.07408182,-0.12999603,-0.059447348,0.08490534,0.025828715,0.066637814,0.10169847,-0.008315682,-0.13011089,0.07111758,0.0146894185,0.068364546,0.05431641,-0.11859595,-0.017845115,0.031889495,0.049504694,-0.053155445,-0.046564735,-0.015861735,0.03509754,0.022555407,0.11472264,-0.0031201802,0.002619017,-0.006059509,0.017363725,0.0077401814,-0.06089358,-0.04328718,-0.048761584
NCCCCN,-0.04060945,0.050239168,0.043750964,-0.07802072,0.06725081,-1.8971041e-06,8.726958e-05,0.021959761,-0.11499117,-0.010142899,0.01656124,0.030414376,-0.016070373,-0.080310255,-0.013256328,-0.115199596,0.09179575,0.0338489,0.039843697,0.04561873,-0.079605654,-0.0055862777,-0.07918816,-0.08780035,0.09165644,0.013859326,-0.112423085,0.050750073,-0.07239705,-0.010915007,0.028607074,-0.028326768,-0.036922894,0.0056328983,0.03215613,-0.039371002,0.011502791,0.021299561,0.06772345,-0.031888865,0.0030727088,-0.04329415,0.058515925,-0.09546512,-0.01989055,0.064141914,-0.010795191,0.09389396,-0.026457481,-0.04484583,0.05781175,0.012636677,0.073514745,0.004867796,0.038220488,-0.0740815,-0.1299971,-0.059448395,0.08490507,0.025828127,0.06663754,0.10169079,-0.008317731,-0.1301124,0.071119964,0.014685002,0.06836292,0.05431477,-0.11859135,-0.017844034,0.03189328,0.049505245,-0.05315404,-0.046565883,-0.015861712,0.035094805,0.02255407,0.11472325,-0.0031192005,0.0026243115,-0.0060576536,0.017367717,0.00773846,-0.06089068,-0.043287076,-0.048756547
NCCCCCN,-0.040611736,0.05023858,0.04375156,-0.078020856,0.067251086,-1.439359e-06,8.7352935e-05,0.02195811,-0.11499005,-0.01014046,0.016562212,0.030414114,-0.016071994,-0.080312155,-0.013257375,-0.11519851,0.09179534,0.033849336,0.0398441,0.045617506,-0.07960853,-0.005587751,-0.079187825,-0.087798744,0.091656014,0.0138598755,-0.112424135,0.050750766,-0.07239738,-0.010915391,0.028608527,-0.028325558,-0.03692068,0.0056347037,0.032157682,-0.03937069,0.011501219,0.02129962,0.06772281,-0.031888947,0.0030727014,-0.0432954,0.05851553,-0.095462926,-0.019890862,0.06414237,-0.010794121,0.093891576,-0.02645759,-0.04484541,0.057813425,0.012634678,0.073516324,0.0048689805,0.038220346,-0.07408201,-0.12999633,-0.059447646,0.08490686,0.025827408,0.06663755,0.1016889,-0.008320317,-0.13011341,0.07111869,0.01468533,0.06836216,0.05431352,-0.11859061,-0.017846735,0.03189453,0.04950518,-0.053153824,-0.046567198,-0.015862148,0.035094716,0.022554152,0.114722714,-0.003119193,0.0026264563,-0.006057281,0.017370025,0.007737053,-0.06088971,-0.04328789,-0.048755467
CNC,-0.04060642,0.050240453,0.043749984,-0.07802731,0.06724223,-3.6368147e-06,8.77236e-05,0.02196337,-0.11498419,-0.010149337,0.016568348,0.030410744,-0.016069788,-0.08030823,-0.013254186,-0.115193576,0.09180073,0.03384991,0.039842483,0.045625605,-0.07960026,-0.005585974,-0.07919339,-0.087798595,0.09166471,0.013859372,-0.11242524,0.05074517,-0.0723903,-0.010918049,0.028599003,-0.028332256,-0.036933877,0.005632088,0.032157067,-0.039377518,0.011504728,0.0213017,0.067726865,-0.031883545,0.0030685738,-0.043291166,0.05851464,-0.09547326,-0.019893423,0.064136535,-0.010794011,0.09389736,-0.026451554,-0.044847317,0.057813138,0.012645534,0.07351798,0.00487094,0.038223766,-0.07407652,-0.12999764,-0.059448645,0.08490062,0.025824718,0.066635996,0.10169844,-0.00831157,-0.13011271,0.071119696,0.0146933375,0.06836949,0.054316975,-0.11859959,-0.017842956,0.031887703,0.049501672,-0.053149797,-0.046566,-0.015860204,0.03509432,0.02255516,0.114723325,-0.003130002,0.002623709,-0.00605819,0.017366108,0.007739424,-0.06089569,-0.043282554,-0.048761323
Cc1cccc(C)n1,-0.040625542,0.0502344,0.04374477,-0.07802223,0.06724404,8.360948e-06,8.152006e-05,0.021945162,-0.11498524,-0.010133629,0.016544098,0.030418623,-0.016069729,-0.080312714,-0.013248084,-0.11518055,0.09178071,0.033845253,0.039851766,0.045623045,-0.07960503,-0.00560515,-0.07918161,-0.087799616,0.09165968,0.013854723,-0.112417586,0.050744385,-0.07239921,-0.010905033,0.028615715,-0.028327387,-0.03691987,0.005603186,0.032152865,-0.039354064,0.011511097,0.02131268,0.067726284,-0.031886563,0.0030712932,-0.043294095,0.05851551,-0.09546988,-0.019907368,0.06413944,-0.010781291,0.09388848,-0.026444517,-0.04483512,0.0578307,0.012624158,0.07353088,0.004869409,0.03820502,-0.07409029,-0.12999168,-0.0594336,0.08488998,0.025843306,0.06663458,0.101696506,-0.008317899,-0.13010615,0.07110001,0.0146868,0.06837639,0.05430477,-0.11858761,-0.017844876,0.031896494,0.049511228,-0.053174477,-0.046550836,-0.015878081,0.03510735,0.022550493,0.114726424,-0.0031293035,0.0026224423,-0.006042745,0.017376103,0.007743716,-0.06088982,-0.043280974,-0.04875538
c1ccncc1,-0.040625475,0.05023268,0.043750137,-0.078026384,0.06723661,1.0991469e-05,7.8892335e-05,0.02194565,-0.1149867,-0.01013614,0.016540809,0.030422825,-0.01606508,-0.080313064,-0.013245134,-0.11517489,0.09178094,0.033844627,0.03985012,0.04562883,-0.07960065,-0.0055941306,-0.07918784,-0.08779586,0.09166576,0.013858244,-0.11241747,0.050740246,-0.07239812,-0.01090627,0.028607987,-0.02833442,-0.036924712,0.0055995933,0.03215345,-0.039352506,0.011511665,0.021310857,0.06772838,-0.03188442,0.0030710287,-0.04330204,0.058508247,-0.09547071,-0.019906051,0.06413694,-0.010784017,0.09388751,-0.026440449,-0.044842243,0.057830792,0.0126231825,0.073535874,0.0048726536,0.038199842,-0.07409362,-0.12999585,-0.05943154,0.08489568,0.025847815,0.06664106,0.10169518,-0.008315533,-0.13009998,0.07110408,0.014685755,0.06837798,0.054304488,-0.11859105,-0.017841829,0.031890836,0.04951056,-0.053174388,-0.046552107,-0.015881669,0.03510858,0.022550125,0.11472096,-0.0031345598,0.0026200665,-0.006039329,0.017375527,0.0077483593,-0.060890593,-0.043275386,-0.048752446
