,encoded_mdes
0,mdes_ABC
1,mdes_ABCGG
2,mdes_nAcid
3,mdes_nBase
4,mdes_SpAbs_A
5,mdes_SpMax_A
6,mdes_SpDiam_A
7,mdes_SpAD_A
8,mdes_SpMAD_A
9,mdes_LogEE_A
10,mdes_VE1_A
11,mdes_VE2_A
12,mdes_VE3_A
13,mdes_VR1_A
14,mdes_VR2_A
15,mdes_VR3_A
16,mdes_nAromAtom
17,mdes_nAromBond
18,mdes_nAtom
19,mdes_nHeavyAtom
20,mdes_nBridgehead
21,mdes_nHetero
22,mdes_nH
23,mdes_nC
24,mdes_nN
25,mdes_ATS0dv
26,mdes_ATS1dv
27,mdes_ATS2dv
28,mdes_ATS3dv
29,mdes_ATS4dv
30,mdes_ATS5dv
31,mdes_ATS6dv
32,mdes_ATS7dv
33,mdes_ATS8dv
34,mdes_ATS0d
35,mdes_ATS1d
36,mdes_ATS2d
37,mdes_ATS3d
38,mdes_ATS4d
39,mdes_ATS5d
40,mdes_ATS6d
41,mdes_ATS7d
42,mdes_ATS8d
43,mdes_ATS0s
44,mdes_ATS1s
45,mdes_ATS2s
46,mdes_ATS3s
47,mdes_ATS4s
48,mdes_ATS5s
49,mdes_ATS6s
50,mdes_ATS7s
51,mdes_ATS8s
52,mdes_ATS0Z
53,mdes_ATS1Z
54,mdes_ATS2Z
55,mdes_ATS3Z
56,mdes_ATS4Z
57,mdes_ATS5Z
58,mdes_ATS6Z
59,mdes_ATS7Z
60,mdes_ATS8Z
61,mdes_ATS0m
62,mdes_ATS1m
63,mdes_ATS2m
64,mdes_ATS3m
65,mdes_ATS4m
66,mdes_ATS5m
67,mdes_ATS6m
68,mdes_ATS7m
69,mdes_ATS8m
70,mdes_ATS0v
71,mdes_ATS1v
72,mdes_ATS2v
73,mdes_ATS3v
74,mdes_ATS4v
75,mdes_ATS5v
76,mdes_ATS6v
77,mdes_ATS7v
78,mdes_ATS8v
79,mdes_ATS0se
80,mdes_ATS1se
81,mdes_ATS2se
82,mdes_ATS3se
83,mdes_ATS4se
84,mdes_ATS5se
85,mdes_ATS6se
86,mdes_ATS7se
87,mdes_ATS8se
88,mdes_ATS0pe
89,mdes_ATS1pe
90,mdes_ATS2pe
91,mdes_ATS3pe
92,mdes_ATS4pe
93,mdes_ATS5pe
94,mdes_ATS6pe
95,mdes_ATS7pe
96,mdes_ATS8pe
97,mdes_ATS0are
98,mdes_ATS1are
99,mdes_ATS2are
100,mdes_ATS3are
101,mdes_ATS4are
102,mdes_ATS5are
103,mdes_ATS6are
104,mdes_ATS7are
105,mdes_ATS8are
106,mdes_ATS0p
107,mdes_ATS1p
108,mdes_ATS2p
109,mdes_ATS3p
110,mdes_ATS4p
111,mdes_ATS5p
112,mdes_ATS6p
113,mdes_ATS7p
114,mdes_ATS8p
115,mdes_ATS0i
116,mdes_ATS1i
117,mdes_ATS2i
118,mdes_ATS3i
119,mdes_ATS4i
120,mdes_ATS5i
121,mdes_ATS6i
122,mdes_ATS7i
123,mdes_ATS8i
124,mdes_AATS0dv
125,mdes_AATS1dv
126,mdes_AATS2dv
127,mdes_AATS3dv
128,mdes_AATS0d
129,mdes_AATS1d
130,mdes_AATS2d
131,mdes_AATS3d
132,mdes_AATS0s
133,mdes_AATS1s
134,mdes_AATS2s
135,mdes_AATS3s
136,mdes_AATS0Z
137,mdes_AATS1Z
138,mdes_AATS2Z
139,mdes_AATS3Z
140,mdes_AATS0m
141,mdes_AATS1m
142,mdes_AATS2m
143,mdes_AATS3m
144,mdes_AATS0v
145,mdes_AATS1v
146,mdes_AATS2v
147,mdes_AATS3v
148,mdes_AATS0se
149,mdes_AATS1se
150,mdes_AATS2se
151,mdes_AATS3se
152,mdes_AATS0pe
153,mdes_AATS1pe
154,mdes_AATS2pe
155,mdes_AATS3pe
156,mdes_AATS0are
157,mdes_AATS1are
158,mdes_AATS2are
159,mdes_AATS3are
160,mdes_AATS0p
161,mdes_AATS1p
162,mdes_AATS2p
163,mdes_AATS3p
164,mdes_AATS0i
165,mdes_AATS1i
166,mdes_AATS2i
167,mdes_AATS3i
168,mdes_ATSC0c
169,mdes_ATSC1c
170,mdes_ATSC2c
171,mdes_ATSC3c
172,mdes_ATSC4c
173,mdes_ATSC5c
174,mdes_ATSC6c
175,mdes_ATSC7c
176,mdes_ATSC8c
177,mdes_ATSC0dv
178,mdes_ATSC1dv
179,mdes_ATSC2dv
180,mdes_ATSC3dv
181,mdes_ATSC4dv
182,mdes_ATSC5dv
183,mdes_ATSC6dv
184,mdes_ATSC7dv
185,mdes_ATSC8dv
186,mdes_ATSC0d
187,mdes_ATSC1d
188,mdes_ATSC2d
189,mdes_ATSC3d
190,mdes_ATSC4d
191,mdes_ATSC5d
192,mdes_ATSC6d
193,mdes_ATSC7d
194,mdes_ATSC8d
195,mdes_ATSC0s
196,mdes_ATSC1s
197,mdes_ATSC2s
198,mdes_ATSC3s
199,mdes_ATSC4s
200,mdes_ATSC5s
201,mdes_ATSC6s
202,mdes_ATSC7s
203,mdes_ATSC8s
204,mdes_ATSC0Z
205,mdes_ATSC1Z
206,mdes_ATSC2Z
207,mdes_ATSC3Z
208,mdes_ATSC4Z
209,mdes_ATSC5Z
210,mdes_ATSC6Z
211,mdes_ATSC7Z
212,mdes_ATSC8Z
213,mdes_ATSC0m
214,mdes_ATSC1m
215,mdes_ATSC2m
216,mdes_ATSC3m
217,mdes_ATSC4m
218,mdes_ATSC5m
219,mdes_ATSC6m
220,mdes_ATSC7m
221,mdes_ATSC8m
222,mdes_ATSC0v
223,mdes_ATSC1v
224,mdes_ATSC2v
225,mdes_ATSC3v
226,mdes_ATSC4v
227,mdes_ATSC5v
228,mdes_ATSC6v
229,mdes_ATSC7v
230,mdes_ATSC8v
231,mdes_ATSC0se
232,mdes_ATSC1se
233,mdes_ATSC2se
234,mdes_ATSC3se
235,mdes_ATSC4se
236,mdes_ATSC5se
237,mdes_ATSC6se
238,mdes_ATSC7se
239,mdes_ATSC8se
240,mdes_ATSC0pe
241,mdes_ATSC1pe
242,mdes_ATSC2pe
243,mdes_ATSC3pe
244,mdes_ATSC4pe
245,mdes_ATSC5pe
246,mdes_ATSC6pe
247,mdes_ATSC7pe
248,mdes_ATSC8pe
249,mdes_ATSC0are
250,mdes_ATSC1are
251,mdes_ATSC2are
252,mdes_ATSC3are
253,mdes_ATSC4are
254,mdes_ATSC5are
255,mdes_ATSC6are
256,mdes_ATSC7are
257,mdes_ATSC8are
258,mdes_ATSC0p
259,mdes_ATSC1p
260,mdes_ATSC2p
261,mdes_ATSC3p
262,mdes_ATSC4p
263,mdes_ATSC5p
264,mdes_ATSC6p
265,mdes_ATSC7p
266,mdes_ATSC8p
267,mdes_ATSC0i
268,mdes_ATSC1i
269,mdes_ATSC2i
270,mdes_ATSC3i
271,mdes_ATSC4i
272,mdes_ATSC5i
273,mdes_ATSC6i
274,mdes_ATSC7i
275,mdes_ATSC8i
276,mdes_AATSC0c
277,mdes_AATSC1c
278,mdes_AATSC2c
279,mdes_AATSC3c
280,mdes_AATSC0dv
281,mdes_AATSC1dv
282,mdes_AATSC2dv
283,mdes_AATSC3dv
284,mdes_AATSC0d
285,mdes_AATSC1d
286,mdes_AATSC2d
