elements,0,3,2,1,total
"['O', 'P', 'Zn']",5,123,59,32,219
"['Mo', 'O']",119,0,13,49,181
"['Al', 'O', 'P']",1,57,57,19,134
"['Mo', 'O', 'P']",116,1,1,1,119
"['O', 'V']",70,0,21,19,110
"['C', 'Cu', 'O']",29,14,9,13,65
"['O', 'P', 'V']",4,28,25,4,61
"['O', 'Se', 'U']",0,0,53,7,60
"['Ga', 'O', 'P']",3,30,11,12,56
"['F', 'Ga', 'O', 'P']",0,33,13,8,54
"['O', 'P', 'W']",51,0,0,0,51
"['Cr', 'O']",50,0,0,0,50
"['Co', 'O', 'P']",9,21,7,11,48
"['O', 'S', 'U']",4,2,24,17,47
"['C', 'Fe', 'O']",15,26,1,0,42
"['Ge', 'O']",0,35,5,0,40
"['C', 'O', 'Zn']",5,17,11,4,37
"['Be', 'O', 'P']",0,25,7,1,33
"['C', 'Mn', 'O']",0,27,5,1,33
"['O', 'Re']",33,0,0,0,33
"['C', 'O', 'Zr']",27,0,0,1,28
"['As', 'Mo', 'O']",25,0,1,1,27
"['Mo', 'O', 'Si']",27,0,0,0,27
"['F', 'Fe', 'O', 'P']",0,13,4,10,27
"['B', 'O', 'V']",24,0,0,1,25
"['O', 'Se', 'V']",0,9,13,3,25
"['C', 'O', 'U']",19,0,3,3,25
"['Fe', 'O', 'P']",0,14,7,3,24
"['C', 'Co', 'O']",3,15,4,2,24
"['C', 'Mn', 'O', 'P']",0,19,4,0,23
"['Al', 'F', 'O', 'P']",0,15,5,3,23
"['Al', 'B', 'O']",3,17,2,0,22
"['O', 'W']",19,0,1,1,21
"['Mn', 'O', 'P']",1,11,8,1,21
"['Fe', 'O', 'S']",6,0,1,14,21
"['O', 'P', 'Sn']",1,9,8,2,20
"['C', 'Ga', 'O', 'P']",0,10,7,2,19
"['F', 'O', 'P', 'Zr']",0,11,5,3,19
"['In', 'O', 'P']",0,13,3,2,18
"['C', 'Cr', 'O']",16,0,0,1,17
"['C', 'In', 'O', 'P']",1,11,4,0,16
"['O', 'Te', 'V']",1,1,8,6,16
"['O', 'U', 'V']",0,11,5,0,16
"['Mn', 'Mo', 'O', 'P']",7,5,1,3,16
"['O', 'Si', 'W']",16,0,0,0,16
"['O', 'S', 'Zn']",2,2,2,9,15
"['C', 'Cl', 'Fe', 'O']",2,9,0,4,15
"['O', 'Si']",1,12,2,0,15
"['C', 'Mg', 'O']",0,12,1,1,14
"['As', 'O', 'Zn']",1,6,5,2,14
"['C', 'Fe', 'O', 'P']",0,12,2,0,14
"['Cl', 'O', 'P', 'Zn']",0,0,11,2,13
"['O', 'P', 'Ti']",0,6,5,1,12
"['O', 'S', 'V']",5,0,0,7,12
"['Al', 'C', 'Na', 'O']",0,10,2,0,12
"['C', 'O', 'Sn']",6,0,4,2,12
"['Cr', 'Mo', 'O']",12,0,0,0,12
"['Cu', 'O', 'S']",7,0,1,3,11
"['C', 'Ni', 'O']",1,9,1,0,11
"['F', 'Ge', 'O']",0,2,8,1,11
"['La', 'O', 'S']",0,3,6,2,11
"['O', 'P', 'U']",0,7,4,0,11
"['As', 'O', 'V']",7,1,0,3,11
"['Cr', 'O', 'U']",0,0,9,2,11
"['O', 'P', 'W', 'Zr']",10,0,0,1,11
"['Mn', 'O', 'S']",7,0,0,4,11
"['Co', 'O', 'P', 'W']",5,1,0,4,10
"['F', 'Ga', 'O', 'P', 'Zn']",0,9,1,0,10
"['Nd', 'O', 'S']",0,3,7,0,10
"['Al', 'O', 'P', 'Si']",0,10,0,0,10
"['Cl', 'Mo', 'O']",9,0,0,1,10
"['C', 'O', 'Se', 'V']",0,0,10,0,10
